Type , Left     , Old Mid      , Right        , New Mid    , Frequency
SUB  , STRING   , NAME         , UNKNOWN_CHAR , STRING     , 18       
SUB  , 'return' , 'False'      , NEWLINE      , NAME       , 18       
INS  , '}'      ,              , STRING       , '，'        , 18       
SUB  , NAME     , '='          , NAME         , '=='       , 18       
INS  , '='      ,              , NAME         , 'lambda'   , 18       
INS  , '('      ,              , NAME         , '('        , 18       
DEL  , '，'      , UNKNOWN_CHAR , ')'          ,            , 17       
SUB  , STRING   , NAME         , STRING       , '，'        , 17       
INS  , NEWLINE  ,              , END          , 99         , 17       
DEL  , NAME     , NAME         , ']'          ,            , 17       
DEL  , NAME     , ')'          , ':'          ,            , 17       
INS  , NAME     ,              , NAME         , NEWLINE    , 16       
INS  , NEWLINE  ,              , 'def'        , 99         , 16       
DEL  , NAME     , UNKNOWN_CHAR , '，'          ,            , 16       
DEL  , START    , '>'          , '['          ,            , 16       
DEL  , START    , UNKNOWN_CHAR , 'import'     ,            , 16       
DEL  , STRING   , UNKNOWN_CHAR , '，'          ,            , 16       
INS  , ')'      ,              , END          , ':'        , 16       
DEL  , STRING   , UNKNOWN_CHAR , END          ,            , 16       
INS  , ':'      ,              , NEWLINE      , NAME       , 16       
DEL  , '('      , '('          , NAME         ,            , 16       
INS  , ')'      ,              , '，'          , ')'        , 16       
DEL  , NAME     , STRING       , '，'          ,            , 15       
INS  , ')'      ,              , '.'          , ')'        , 15       
DEL  , STRING   , NAME         , NAME         ,            , 15       
DEL  , ')'      , NAME         , END          ,            , 15       
INS  , NEWLINE  ,              , 'return'     , 98         , 15       
DEL  , STRING   , ')'          , '，'          ,            , 15       
INS  , ']'      ,              , STRING       , '，'        , 15       
INS  , NAME     ,              , ':'          , '('        , 15       
INS  , '('      ,              , ':'          , ')'        , 15       
SUB  , START    , '>>'         , '>'          , NAME       , 15       
DEL  , NAME     , NAME         , 'import'     ,            , 15       
INS  , ')'      ,              , END          , NEWLINE    , 15       
SUB  , NAME     , '，'          , NAME         , ':'        , 15       
DEL  , STRING   , NAME         , '-'          ,            , 15       
DEL  , START    , 98           , NAME         ,            , 15       
INS  , ')'      ,              , ']'          , ')'        , 15       
INS  , NAME     ,              , ']'          , ')'        , 14       
SUB  , NAME     , '='          , NUMBER       , '=='       , 14       
DEL  , NUMBER   , NUMBER       , ')'          ,            , 14       
DEL  , NAME     , ':'          , '//'         ,            , 14       
DEL  , ')'      , NAME         , NAME         ,            , 14       
DEL  , NAME     , '.'          , NAME         ,            , 14       
DEL  , '，'      , UNKNOWN_CHAR , ']'          ,            , 14       
DEL  , NAME     , STRING       , NEWLINE      ,            , 14       
DEL  , NAME     , '.'          , '['          ,            , 14       
INS  , NAME     ,              , 'for'        , ')'        , 14       
DEL  , NAME     , STRING       , END          ,            , 13       
