Snippet length, Patch size, Bonus Actions, Bonus Total, Possible, Distinct valid repairs, Relevant edit actions, Saturation, Seq2Parse matched
124, 2, 0, 0, 1, 1, 1046, 1.9858540075048378E-4, 0
201, 3, 11, 113, 1, 45, 1961, 1.0074761187261884E-5, 0
37, 2, 29, 151, 1, 51, 222, 0.014741504666223305, 0
343, 2, 19, 333, 1, 156, 3145, 3.607044879924338E-6, 0
614, 1, 2, 13, 1, 8, 6493, 2.5725148212007897E-7, 0
26, 1, 90, 1893, 1, 581, 168, 0.022218456482622308, 1
28, 2, 24, 136, 1, 48, 141, 0.021545803874459972, 0
58, 2, 33, 152, 1, 46, 507, 0.0010060799429273805, 0
66, 1, 20, 100, 1, 47, 263, 0.017861113169791745, 1
282, 2, 0, 0, 1, 1, 2429, 1.0430741126041994E-5, 0
44, 3, 15, 51, 1, 19, 380, 0.0024492177271348164, 0
49, 1, 11, 50, 1, 16, 239, 0.017164009214254764, 0
69, 1, 90, 2605, 1, 924, 537, 7.44951557990379E-4, 1
153, 2, 0, 0, 1, 1, 1071, 2.10660841289414E-4, 0
109, 2, 41, 325, 1, 127, 942, 1.5295446890745002E-4, 0
125, 2, 0, 0, 1, 1, 852, 4.40217423515616E-4, 0
126, 1, 49, 5964, 1, 2160, 643, 5.26918333080562E-4, 1
53, 2, 63, 1604, 1, 569, 568, 0.0010125662737881485, 0
178, 1, 8, 29, 1, 16, 1663, 2.024332289515853E-5, 0
33, 3, 0, 0, 1, 1, 154, 0.07149460811358452, 0
270, 3, 9, 20, 1, 10, 1925, 1.1434592546836758E-5, 0
1222, 1, 0, 0, 1, 1, 6720, 1.9953249500556888E-7, 1
89, 2, 43, 713, 1, 268, 739, 3.3916892306809656E-4, 0
86, 2, 85, 3088, 1, 1154, 770, 3.119960325617592E-4, 0
14, 3, 145, 1217, 1, 358, 129, 0.12092555865076, 0
170, 2, 8, 14, 1, 7, 972, 1.7536508128236224E-4, 1
104, 2, 22, 66, 1, 30, 681, 1.86477984984713E-4, 0
14, 2, 107, 796, 1, 290, 161, 0.031980513178836226, 0
25, 1, 50, 1671, 1, 530, 144, 0.08196790341208347, 1
39, 1, 13, 28, 1, 10, 233, 0.00967505245102073, 0
134, 2, 16, 111, 1, 43, 1117, 8.6949491837934E-5, 0
71, 1, 75, 1954, 1, 748, 435, 0.0021566530291573737, 1
31, 1, 32, 189, 1, 62, 173, 0.04796545819588278, 0
21, 1, 52, 486, 1, 155, 110, 0.10175368529455195, 1
51, 2, 30, 222, 1, 67, 526, 0.0010207596913420901, 0
69, 3, 20, 190, 1, 65, 395, 0.002680572656126898, 0
14, 1, 106, 898, 1, 302, 138, 0.05606891048346903, 0
69, 2, 35, 406, 1, 129, 243, 0.006400542354054382, 0
161, 1, 55, 479, 1, 205, 1116, 4.9517809313318775E-5, 1
112, 2, 29, 334, 1, 136, 1050, 5.8318081381962556E-5, 0
339, 3, 0, 0, 1, 1, 2394, 1.4876445802173801E-5, 0
28, 1, 104, 1572, 1, 584, 165, 0.07476086096362239, 1
110, 2, 38, 381, 1, 153, 961, 1.4047287026729577E-4, 0
72, 1, 26, 69, 1, 34, 549, 6.749664900488176E-4, 0
23, 1, 137, 2341, 1, 816, 143, 0.12372060699252391, 1
64, 3, 20, 169, 1, 50, 591, 7.748397894323316E-4, 0
1050, 2, 17, 151, 1, 78, 6933, 1.2237773027643017E-7, 0
13, 1, 127, 1527, 1, 451, 106, 0.15441302924907274, 0
78, 3, 29, 243, 1, 72, 503, 6.287230536640719E-4, 0
67, 2, 79, 415, 1, 184, 687, 4.86495307341935E-4, 0
22, 1, 41, 681, 1, 219, 117, 0.11840253342716398, 1
203, 2, 29, 509, 1, 238, 1780, 2.001076163917393E-5, 0
92, 3, 24, 235, 1, 70, 584, 4.448911172958612E-4, 0
23, 3, 12, 61, 1, 19, 148, 0.06295948539824074, 0
80, 2, 14, 54, 1, 16, 464, 0.0016444738798016992, 1
32, 1, 35, 586, 1, 220, 327, 0.002459990162456437, 0
726, 2, 0, 0, 1, 1, 7039, 2.0064765759044757E-7, 0
14, 3, 81, 458, 1, 141, 75, 0.3285358859129351, 0
29, 1, 158, 3280, 1, 1092, 221, 0.024655077959205806, 0
160, 1, 0, 0, 1, 1, 998, 2.777771116299027E-4, 0
146, 2, 12, 53, 1, 21, 1165, 7.7290768308781E-5, 0
31, 2, 50, 635, 1, 210, 255, 0.008160974636627138, 0
144, 2, 8, 39, 1, 14, 1152, 1.701938028667797E-4, 0
182, 2, 16, 72, 1, 34, 1720, 1.7431853650373123E-5, 0
203, 2, 18, 400, 1, 176, 2034, 1.6827401342997444E-5, 0
49, 2, 57, 333, 1, 133, 384, 0.006156495808843192, 1
250, 1, 15, 128, 1, 52, 1710, 1.779264797642185E-5, 0
44, 3, 41, 1263, 1, 390, 187, 0.015767651914991226, 0
75, 3, 42, 557, 1, 188, 477, 0.0014113981531798726, 0
148, 3, 0, 0, 1, 1, 1144, 1.468119313259441E-4, 0
95, 2, 28, 300, 1, 128, 901, 1.5414403922988818E-4, 0
99, 3, 30, 358, 1, 161, 961, 1.3240994362432402E-4, 0
70, 2, 15, 38, 1, 15, 447, 0.0012163516585076833, 0
32, 2, 0, 0, 1, 1, 238, 0.026384641640446366, 0
160, 1, 0, 0, 1, 1, 1302, 9.847316931692191E-5, 0
58, 1, 31, 1106, 1, 395, 365, 0.004606938210478753, 1
39, 3, 57, 709, 1, 232, 252, 0.007293230757428131, 0
59, 1, 130, 1964, 1, 746, 372, 0.006364766255173079, 1
16, 1, 83, 2104, 1, 680, 150, 0.025404625830893864, 1
147, 2, 0, 0, 1, 1, 1200, 1.2236754917933218E-4, 0
67, 3, 36, 169, 1, 60, 504, 9.812884692217486E-4, 0
