Snippet length, Patch size, Bonus Actions, Bonus Total, Possible, Distinct valid repairs, Relevant edit actions, Saturation, Seq2Parse matched
17, 1, 39, 450, 1, 132, 111, 0.05099947141548976, 1
44, 1, 24, 113, 1, 35, 370, 0.003761378115205737, 0
65, 2, 51, 1473, 1, 494, 393, 0.002801093499318368, 0
73, 2, 70, 775, 1, 294, 502, 0.0017738228032549352, 0
68, 2, 35, 555, 1, 208, 497, 0.001139228671183081, 0
150, 3, 0, 0, 1, 1, 1200, 1.372256253453237E-4, 0
10, 3, 76, 508, 1, 154, 66, 0.407109692917197, 0
77, 2, 29, 328, 1, 108, 385, 0.003689334459543248, 0
215, 2, 0, 0, 1, 1, 1103, 1.2884169772855585E-4, 0
35, 2, 53, 475, 1, 185, 226, 0.024734747923672428, 0
81, 2, 37, 406, 1, 153, 644, 4.4239166280101637E-4, 0
25, 1, 129, 1243, 1, 415, 139, 0.07845488192670594, 1
158, 2, 0, 0, 1, 1, 1376, 9.856885045851647E-5, 0
27, 3, 23, 157, 1, 51, 162, 0.02514000337670261, 0
120, 2, 22, 95, 1, 30, 698, 5.322868171553585E-4, 0
312, 3, 0, 0, 1, 1, 2571, 1.2731726498485888E-5, 0
10, 3, 74, 570, 1, 169, 66, 0.4116953193625298, 0
17, 1, 144, 957, 1, 323, 182, 0.02838017717862915, 0
14, 1, 55, 226, 1, 69, 63, 0.8852225533987796, 1
200, 1, 2, 2, 1, 2, 926, 1.679671524899655E-4, 1
76, 2, 34, 461, 1, 186, 748, 2.7939717475641135E-4, 0
34, 1, 120, 1209, 1, 425, 248, 0.014183357975646375, 0
87, 1, 34, 542, 1, 191, 789, 1.799967163994148E-4, 1
76, 3, 19, 97, 1, 33, 472, 0.0012809353366410967, 0
14, 2, 38, 182, 1, 57, 88, 0.16561511591076605, 0
428, 1, 9, 61, 1, 27, 4040, 7.816816134623344E-7, 0
605, 2, 0, 0, 1, 1, 3925, 1.0244178729205155E-6, 0
68, 3, 0, 0, 1, 1, 616, 9.613703481540822E-4, 0
42, 1, 145, 1534, 1, 557, 320, 0.0068439412195840914, 0
152, 2, 14, 31, 1, 16, 1021, 9.845051268655905E-5, 0
6, 2, 111, 394, 1, 139, 44, 0.8343959999508593, 0
152, 1, 7, 10, 1, 7, 842, 2.8753981340998646E-4, 1
428, 3, 0, 0, 1, 1, 3940, 2.49195409699327E-6, 0
373, 2, 13, 50, 1, 28, 3091, 4.271311976156101E-6, 0
115, 2, 10, 24, 1, 12, 888, 1.3440601671769355E-4, 0
50, 1, 58, 699, 1, 242, 441, 0.0017490563147151187, 1
64, 3, 15, 39, 1, 19, 550, 4.6273446012443944E-4, 0
48, 2, 0, 0, 1, 1, 290, 0.01480473097753848, 0
78, 3, 0, 0, 1, 1, 814, 4.59909658610052E-4, 0
85, 3, 5, 9, 1, 4, 498, 0.0013060866705239375, 0
131, 3, 23, 195, 1, 97, 1124, 7.663296264624408E-5, 0
50, 2, 55, 202, 1, 78, 425, 0.0015344500527869666, 0
22, 1, 113, 1553, 1, 464, 197, 0.033423368570487784, 0
110, 3, 0, 0, 1, 1, 818, 5.336453499493749E-4, 0
41, 2, 55, 726, 1, 252, 374, 0.0025416156117141937, 0
31, 1, 52, 601, 1, 201, 243, 0.004459327451179071, 0
42, 1, 22, 230, 1, 70, 196, 0.019440782654722634, 1
1038, 1, 2, 2, 1, 2, 6050, 2.2171735835982124E-7, 0
30, 2, 51, 2262, 1, 772, 173, 0.040465561747831856, 0
31, 2, 47, 292, 1, 86, 293, 0.0053906624134739305, 0
54, 1, 21, 454, 1, 160, 283, 0.009603309828933934, 0
50, 2, 89, 1028, 1, 329, 399, 0.001397436354647807, 1
83, 3, 28, 358, 1, 119, 444, 0.001880140034201412, 0
54, 2, 60, 457, 1, 162, 367, 0.002259234927114151, 0
127, 1, 56, 1610, 1, 559, 695, 4.093085250621028E-4, 0
97, 2, 26, 165, 1, 64, 860, 1.9832533915318366E-4, 0
133, 1, 4, 16, 1, 9, 1188, 1.0456990473457944E-4, 0
7, 1, 72, 286, 1, 85, 26, 5.85431643625192, 1
30, 3, 27, 650, 1, 206, 146, 0.06427399875235969, 0
25, 3, 36, 225, 1, 74, 177, 0.029970118155846655, 0
63, 2, 19, 206, 1, 82, 386, 0.00356527417915875, 0
24, 1, 133, 1712, 1, 570, 160, 0.06057819312608603, 0
14, 1, 51, 536, 1, 173, 81, 0.2683652214164481, 1
