SUB  , ':'      , UNKNOWN_CHAR , '}'          , STRING     , 3
SUB  , ':'      , '['          , STRING       , '{'        , 3
SUB  , NAME     , '('          , ':'          , '['        , 3
SUB  , 98       , 'raise'      , NEWLINE      , NAME       , 3
SUB  , '('      , '，'          , ')'          , STRING     , 3
SUB  , NUMBER   , ')'          , END          , ']'        , 3
SUB  , ')'      , NEWLINE      , 99           , ')'        , 3
SUB  , START    , '>>'         , '>'          , STRING     , 3
SUB  , '，'      , '*'          , NAME         , '**'       , 3
SUB  , 98       , '>'          , STRING       , NEWLINE    , 3
SUB  , NEWLINE  , STRING       , END          , 99         , 3
SUB  , NAME     , UNKNOWN_CHAR , NUMBER       , '%'        , 3
SUB  , '('      , NAME         , ':'          , 'lambda'   , 3
SUB  , '='      , 'class'      , '('          , NAME       , 2
SUB  , STRING   , NAME         , UNKNOWN_CHAR , ']'        , 2
SUB  , NUMBER   , STRING       , NAME         , '，'        , 2
SUB  , START    , 'from'       , '='          , NAME       , 2
SUB  , STRING   , ']'          , END          , ')'        , 2
SUB  , '('      , '~'          , '/'          , STRING     , 2
SUB  , '('      , '<'          , NAME         , STRING     , 2
SUB  , NAME     , '-'          , NUMBER       , '，'        , 2
SUB  , NUMBER   , STRING       , NAME         , ':'        , 2
SUB  , STRING   , '，'          , ']'          , '}'        , 2
SUB  , '，'      , UNKNOWN_CHAR , '/'          , STRING     , 2
SUB  , START    , 'def'        , NAME         , 'class'    , 2
SUB  , '='      , UNKNOWN_CHAR , '/'          , STRING     , 2
SUB  , 'import' , NUMBER       , NEWLINE      , NAME       , 2
SUB  , NEWLINE  , 'continue'   , NEWLINE      , NAME       , 2
SUB  , NAME     , UNKNOWN_CHAR , NAME         , '，'        , 2
SUB  , 98       , NAME         , NUMBER       , 'return'   , 2
SUB  , '，'      , '.'          , '.'          , '...'      , 2
SUB  , STRING   , ';'          , STRING       , '，'        , 2
SUB  , NUMBER   , '='          , STRING       , ':'        , 2
SUB  , NAME     , UNKNOWN_CHAR , NAME         , NEWLINE    , 2
SUB  , NEWLINE  , '>>'         , '>>'         , 98         , 2
SUB  , STRING   , NAME         , STRING       , ':'        , 2
SUB  , '='      , UNKNOWN_CHAR , END          , STRING     , 2
SUB  , STRING   , NAME         , '-'          , '，'        , 2
SUB  , '.'      , 'global'     , '['          , NAME       , 2
SUB  , '('      , 'in'         , ')'          , NAME       , 2
SUB  , 'if'     , 'in'         , '=='         , NAME       , 2
SUB  , NEWLINE  , NAME         , END          , 99         , 2
SUB  , ']'      , ']'          , NEWLINE      , '}'        , 2
SUB  , STRING   , '>'          , ')'          , STRING     , 2
SUB  , NEWLINE  , UNKNOWN_CHAR , NAME         , STRING     , 2
SUB  , NUMBER   , '.'          , '.'          , '，'        , 2
SUB  , '+'      , '+'          , NEWLINE      , NUMBER     , 2
SUB  , STRING   , '}'          , END          , ']'        , 2
SUB  , STRING   , '='          , '{'          , ':'        , 2
SUB  , '，'      , UNKNOWN_CHAR , ':'          , STRING     , 2
SUB  , STRING   , '，'          , END          , ']'        , 2
SUB  , STRING   , '，'          , '['          , ':'        , 2
SUB  , 98       , '>'          , END          , NEWLINE    , 2
SUB  , '='      , 'def'        , '['          , NAME       , 2
SUB  , 'import' , 'class'      , END          , NAME       , 2
SUB  , '('      , UNKNOWN_CHAR , NUMBER       , STRING     , 2
SUB  , STRING   , '，'          , NAME         , ':'        , 2
SUB  , '('      , 'lambda'     , '*'          , NAME       , 2
SUB  , STRING   , NAME         , ')'          , '，'        , 2
SUB  , NAME     , STRING       , '，'          , '='        , 2
SUB  , NEWLINE  , 'return'     , '='          , NAME       , 2
SUB  , '('      , UNKNOWN_CHAR , '...'        , STRING     , 2
SUB  , NEWLINE  , 'in'         , '='          , NAME       , 2
SUB  , STRING   , NAME         , UNKNOWN_CHAR , '='        , 2
SUB  , '='      , UNKNOWN_CHAR , ')'          , STRING     , 2
SUB  , '，'      , 'class'      , ')'          , NAME       , 2
SUB  , NAME     , '('          , NAME         , '，'        , 2
SUB  , STRING   , '，'          , NAME         , '%'        , 2
SUB  , STRING   , NAME         , END          , ')'        , 2
SUB  , NAME     , ')'          , NAME         , '('        , 2
SUB  , STRING   , ';'          , '('          , '，'        , 2
SUB  , '{'      , UNKNOWN_CHAR , 'in'         , STRING     , 2
SUB  , '!='     , UNKNOWN_CHAR , NAME         , STRING     , 2
SUB  , ')'      , 'else'       , NUMBER       , 'if'       , 2
SUB  , NAME     , NAME         , END          , '('        , 2
SUB  , NAME     , 'or'         , NAME         , 'else'     , 2
SUB  , START    , UNKNOWN_CHAR , NAME         , 'import'   , 2
SUB  , ')'      , '='          , NAME         , '=='       , 2
SUB  , NAME     , '，'          , '('          , ':'        , 2
SUB  , 'True'   , ']'          , END          , ')'        , 2
SUB  , ')'      , ')'          , END          , '}'        , 2
SUB  , NAME     , '='          , STRING       , ':'        , 2
SUB  , NAME     , 'in'         , NAME         , '='        , 2
SUB  , NAME     , '+='         , NUMBER       , '+'        , 2
SUB  , NAME     , ':'          , ':'          , '.'        , 2
SUB  , '('      , '...'        , NAME         , '['        , 2
SUB  , NAME     , '...'        , ')'          , ']'        , 2
SUB  , NAME     , '...'        , NEWLINE      , '.'        , 2
SUB  , '，'      , 'pass'       , ')'          , NAME       , 2
SUB  , '['      , UNKNOWN_CHAR , '，'          , '...'      , 2
SUB  , STRING   , UNKNOWN_CHAR , NEWLINE      , STRING     , 2
SUB  , '+'      , UNKNOWN_CHAR , NAME         , STRING     , 2
SUB  , 'if'     , UNKNOWN_CHAR , NAME         , STRING     , 2
SUB  , '('      , 'from'       , '，'          , NAME       , 2
SUB  , ')'      , '->'         , NAME         , '.'        , 2
SUB  , '='      , 'for'        , '('          , NAME       , 2
SUB  , STRING   , '.'          , NAME         , ':'        , 1
SUB  , STRING   , NUMBER       , STRING       , '，'        , 1
SUB  , 98       , '>'          , UNKNOWN_CHAR , NEWLINE    , 1
SUB  , NEWLINE  , UNKNOWN_CHAR , END          , 99         , 1
SUB  , '，'      , NAME         , ':'          , STRING     , 1
SUB  , STRING   , NAME         , '-'          , ':'        , 1
SUB  , '.'      , 'class'      , '('          , NAME       , 1
SUB  , ']'      , UNKNOWN_CHAR , '+'          , '('        , 1
SUB  , '，'      , UNKNOWN_CHAR , 'None'       , STRING     , 1
SUB  , '，'      , 'def'        , ']'          , STRING     , 1
SUB  , 99       , 'else'       , ':'          , 'except'   , 1
SUB  , NAME     , '['          , NAME         , '('        , 1
SUB  , ':'      , '{'          , NUMBER       , '['        , 1
SUB  , '，'      , '.'          , NAME         , STRING     , 1
SUB  , STRING   , '...'        , STRING       , '，'        , 1
SUB  , ':'      , UNKNOWN_CHAR , UNKNOWN_CHAR , NAME       , 1
SUB  , '.'      , UNKNOWN_CHAR , '，'          , NAME       , 1
SUB  , ']'      , NAME         , NEWLINE      , ')'        , 1
SUB  , NAME     , '.'          , NAME         , 'in'       , 1
SUB  , STRING   , UNKNOWN_CHAR , END          , ']'        , 1
SUB  , NUMBER   , '//'         , 'or'         , NEWLINE    , 1
SUB  , NAME     , NAME         , '*'          , 'import'   , 1
SUB  , ']'      , NAME         , '['          , '，'        , 1
SUB  , NEWLINE  , 'class'      , '='          , NAME       , 1
SUB  , '，'      , '['          , STRING       , '{'        , 1
SUB  , ':'      , '('          , STRING       , '{'        , 1
SUB  , ']'      , '，'          , END          , '}'        , 1
SUB  , STRING   , '.'          , NAME         , '，'        , 1
SUB  , NEWLINE  , '.'          , '.'          , '...'      , 1
SUB  , '('      , '+'          , ')'          , STRING     , 1
SUB  , '='      , '/'          , NAME         , STRING     , 1
