Snippet length, Patch size, Time to find human repair (ms), First valid repair, Total repairs sampled, Distinct valid repairs, Rank of human repair, Throughput, Saturation, Seq2Parse matched
30, 1, 102, 55, 5275, 3, 0, 51, 0.0018684186943879787, 0
19, 1, 98, 5, 4529, 4, 0, 45, 0.0020455910714850295, 0
13, 1, 129, 17, 10909, 19, 2, 83, 0.014317343948300594, 0
12, 1, 17, 0, 1551, 12, 4, 86, 0.004860179742043845, 1
43, 2, 4687, 9, 65761, 73, 13, 14, 0.0014412706799527184, 1
7, 2, 0, 0, 26, 3, 0, 26, 6.420704301871882E-4, 1
19, 2, 241, 8, 14467, 51, 6, 59, 0.002165652426183392, 0
83, 1, 868, 122, 18572, 9, 2, 21, 6.47952114929205E-5, 0
46, 2, 302, 13, 7830, 23, 0, 25, 1.6460184201864167E-4, 0
19, 2, 80, 28, 4002, 5, 0, 49, 0.014348457415341591, 0
44, 2, 494, 11, 12020, 21, 1, 24, 9.04360424194696E-5, 0
41, 2, 281, 1, 5780, 80, 3, 20, 0.001019110256798153, 0
13, 2, 7, 0, 534, 10, 1, 66, 0.0012489037011050694, 0
17, 1, 109, 30, 8000, 9, 1, 72, 0.008413135428344274, 0
11, 1, 0, 0, 7, 2, 0, 7, 7.141407000007141E-6, 0
21, 2, 98, 1, 6426, 82, 46, 64, 0.023039277199146693, 0
23, 1, 56, 1, 1764, 11, 0, 30, 0.0015531122114768301, 0
8, 3, 125, 0, 13625, 117, 0, 108, 0.008222324410376363, 1
208, 1, 3030, 91, 35295, 18, 4, 11, 6.45934424141014E-6, 0
60, 2, 151, 0, 3919, 4, 1, 25, 3.64904459325234E-5, 0
36, 2, 4, 1, 258, 8, 0, 51, 1.5140046308589705E-5, 1
17, 1, 1, 0, 52, 4, 0, 26, 1.881508390803766E-5, 0
21, 3, 61, 8, 1951, 3, 0, 31, 0.001669297671453812, 0
15, 1, 122, 1, 5482, 64, 20, 44, 0.005592741882005593, 0
37, 1, 196, 0, 7019, 33, 1, 35, 1.4277224025978648E-4, 1
121, 1, 1105, 10, 16151, 7, 1, 14, 8.423349398529305E-6, 0
19, 3, 259, 0, 16994, 38, 30, 65, 0.008230978878147705, 0
50, 1, 403, 1, 6979, 14, 0, 17, 5.505744568763247E-5, 0
21, 2, 112, 37, 5794, 3, 1, 51, 0.004198359060419705, 0
23, 1, 70, 0, 2060, 17, 1, 29, 5.603713031135427E-4, 0
27, 1, 228, 5, 6778, 32, 7, 29, 9.094208513375987E-4, 0
66, 1, 95, 3, 2577, 4, 0, 26, 2.0949349569846118E-5, 0
32, 2, 150, 8, 6652, 82, 17, 44, 0.0011533475426952718, 0
46, 1, 8, 0, 126, 2, 0, 14, 5.423872399527607E-6, 1
57, 1, 2351, 200, 81922, 25, 7, 34, 6.700065415643198E-4, 1
20, 2, 1007, 2, 40010, 20, 1, 39, 0.04765852624256415, 0
11, 1, 24, 0, 2617, 30, 2, 104, 0.002927135903217724, 1
51, 3, 2441, 52, 81749, 164, 18, 33, 0.005337927947081583, 0
34, 1, 99, 1, 2076, 17, 0, 20, 5.1746063223818625E-5, 1
20, 3, 29, 7, 2539, 8, 0, 84, 6.906712323326626E-4, 0
17, 1, 2, 1, 220, 2, 0, 73, 1.511218392352136E-4, 0
16, 3, 1001, 5, 47416, 100, 2, 47, 0.08192701970941273, 0
27, 2, 51, 6, 1750, 4, 1, 33, 2.537964320572449E-4, 0
58, 2, 416, 11, 6786, 26, 12, 16, 1.3253175513389175E-4, 0
22, 1, 99, 0, 3594, 30, 4, 35, 8.719576103412135E-4, 1
294, 1, 2271, 46, 20108, 42, 0, 8, 1.3209600245494758E-6, 1
24, 1, 95, 2, 7516, 18, 1, 78, 0.002084801723317742, 1
50, 2, 431, 37, 13237, 14, 0, 30, 1.248208134845027E-4, 0
37, 1, 312, 112, 27374, 5, 3, 87, 0.0035086801830450792, 1
22, 1, 30, 0, 1148, 17, 4, 37, 0.0018473372114541345, 0
60, 1, 641, 23, 21023, 86, 73, 32, 3.3013090806225596E-4, 1
78, 1, 1470, 57, 32072, 34, 0, 21, 5.112804762228833E-4, 1
38, 2, 252, 16, 6269, 4, 0, 24, 4.093440935088435E-4, 0
22, 1, 106, 3, 4405, 71, 48, 41, 0.029030110914135456, 0
31, 1, 3, 0, 80, 2, 0, 20, 2.8948677396445696E-6, 0
41, 2, 485, 10, 16898, 92, 12, 34, 1.862635862988968E-4, 0
12, 2, 54, 11, 3444, 5, 1, 62, 0.005351665325124546, 0
93, 1, 776, 5, 5549, 42, 16, 7, 1.754426551137947E-5, 0
133, 2, 1126, 84, 19798, 9, 1, 17, 9.96024104505771E-6, 1
50, 3, 224, 2, 5925, 36, 3, 26, 1.2877289924456274E-4, 0
52, 3, 817, 2, 26863, 29, 19, 32, 6.355753150241837E-4, 0
18, 3, 54, 13, 2916, 3, 0, 53, 0.001481048822296997, 0
42, 1, 465, 13, 18782, 65, 24, 40, 7.917358325465647E-4, 0
16, 1, 87, 0, 3023, 39, 3, 34, 8.38525227460023E-4, 1
33, 2, 2836, 0, 131482, 155, 1, 46, 0.019372113215225355, 0
53, 2, 1259, 1, 33933, 158, 27, 26, 2.300897038610643E-4, 0
25, 2, 252, 0, 21400, 13, 0, 84, 0.016830726930106867, 0
18, 3, 151, 0, 8308, 18, 0, 54, 0.003138346377038244, 1
53, 2, 116, 0, 4909, 63, 1, 41, 1.5217518131600005E-4, 1
33, 2, 232, 6, 4983, 18, 7, 21, 1.2420550724676695E-4, 0
118, 2, 615, 54, 12748, 5, 1, 20, 5.11445213503683E-5, 1
30, 1, 649, 1, 29122, 199, 13, 44, 0.004649444467860368, 0
34, 1, 666, 21, 29288, 52, 24, 43, 0.0022760523206050657, 0
34, 1, 1, 0, 34, 2, 0, 17, 2.480072073812197E-6, 0
11, 2, 6, 0, 886, 14, 5, 126, 0.0014257323774811525, 1
163, 2, 1222, 502, 34426, 17, 0, 28, 1.5024869152422812E-5, 0
39, 2, 99, 30, 6798, 2, 0, 67, 5.085103675749015E-4, 0
25, 1, 490, 1, 7959, 33, 9, 16, 0.0014271781412040262, 1
51, 3, 142, 3, 6088, 10, 2, 42, 2.734056058837533E-4, 0
28, 1, 114, 2, 5551, 48, 1, 48, 0.0026262452310300975, 0
22, 3, 207, 9, 6600, 19, 1, 31, 0.0020221554706658772, 0
8, 1, 6, 0, 830, 16, 4, 118, 0.006507252058016464, 0
14, 3, 158, 31, 13222, 8, 2, 83, 0.025501465823175435, 0
16, 2, 86, 6, 4517, 49, 19, 51, 0.0072686604391448825, 0
14, 1, 105, 7, 10338, 26, 12, 97, 0.02070254065712243, 1
102, 1, 64, 5, 1027, 10, 0, 15, 2.3831642970986275E-6, 0
16, 3, 101, 0, 7561, 44, 0, 74, 7.467972954500379E-4, 0
72, 2, 214, 0, 7489, 24, 0, 34, 1.91664530307117E-4, 1
33, 1, 264, 5, 8335, 21, 0, 31, 3.6644515969029383E-4, 0
82, 2, 1667, 520, 51169, 37, 29, 30, 1.2921908624971594E-4, 0
11, 1, 12, 1, 1078, 2, 0, 82, 0.013243405938647895, 0
30, 1, 15, 0, 1048, 44, 2, 65, 9.407946608825749E-5, 1
58, 2, 451, 20, 12788, 13, 8, 28, 1.5935364725146173E-4, 0
48, 1, 377, 5, 8531, 4, 0, 22, 7.2364319869125E-5, 1
42, 3, 1729, 2, 59697, 193, 49, 34, 0.006148511630077064, 0
19, 1, 22, 0, 1559, 17, 2, 67, 4.498106265524454E-4, 0
74, 1, 571, 61, 8173, 11, 2, 14, 4.746520033636467E-5, 0
74, 2, 4215, 58, 65763, 57, 2, 15, 2.2736296066008837E-4, 1
29, 3, 279, 3, 11388, 46, 5, 40, 0.003221440969668442, 0
49, 1, 332, 1, 3666, 42, 4, 11, 2.4999754673711295E-5, 0
18, 1, 9, 1, 778, 6, 0, 77, 5.952476589858296E-4, 0
6, 1, 10, 0, 1080, 10, 3, 98, 0.20693619467330907, 0
54, 3, 365, 5, 8845, 31, 2, 24, 1.5950765819800925E-4, 0
20, 1, 62, 4, 2173, 12, 4, 34, 0.006244791217633704, 0
17, 1, 66, 1, 2167, 19, 11, 32, 0.00388230193452221, 0
19, 1, 153, 0, 7765, 50, 28, 50, 0.002112273382852747, 0
104, 1, 823, 2, 10660, 33, 2, 12, 2.2607879850545542E-5, 0
30, 1, 114, 1, 6962, 40, 22, 60, 0.001721086573720081, 0
112, 1, 547, 1, 8551, 19, 0, 15, 1.5718600673293604E-5, 0
108, 2, 1063, 53, 19757, 12, 10, 18, 4.602889971890943E-5, 0
17, 2, 59, 26, 5597, 7, 2, 93, 0.006260290275242493, 0
23, 1, 240, 16, 11997, 71, 21, 49, 0.001979090954381434, 0
46, 1, 41, 11, 2270, 6, 0, 54, 3.5915679098881625E-5, 0
37, 1, 261, 41, 12002, 19, 1, 45, 7.9323331402793E-4, 0
49, 1, 774, 156, 36078, 46, 1, 46, 9.398577771511712E-4, 0
18, 1, 119, 0, 11363, 22, 11, 94, 0.004292372397964079, 0
15, 1, 86, 0, 8050, 47, 3, 92, 0.0047368572805496405, 1
17, 1, 15, 0, 1069, 10, 0, 66, 8.644677862427513E-4, 1
19, 2, 298, 224, 24179, 4, 0, 80, 0.3185890847761351, 0
24, 3, 375, 2, 17747, 87, 62, 47, 0.005223316115550454, 0
109, 1, 707, 0, 17221, 29, 7, 24, 7.391392699380521E-5, 0
25, 1, 308, 29, 14789, 5, 2, 47, 0.006528255928467725, 0
99, 2, 959, 168, 22244, 4, 0, 23, 4.242956706173711E-5, 0
35, 2, 613, 90, 21236, 9, 2, 34, 0.0010869220844848015, 0
31, 3, 806, 407, 50742, 5, 3, 62, 0.012544006739974769, 0
33, 1, 1, 0, 50, 3, 0, 25, 3.557239505307508E-6, 1
25, 1, 214, 0, 14371, 118, 16, 66, 0.0018144287932969033, 0
225, 1, 1984, 215, 26777, 103, 1, 13, 4.395635727610183E-6, 0
146, 1, 917, 4, 10149, 56, 11, 11, 1.0972365494772696E-5, 0
53, 1, 120, 0, 3565, 19, 6, 29, 4.8003886631651433E-5, 1
33, 3, 121, 50, 4948, 2, 0, 40, 5.632675345479482E-4, 0
13, 1, 2, 0, 213, 11, 0, 71, 2.619607206502529E-4, 0
44, 1, 332, 26, 8407, 15, 1, 25, 9.846794327909144E-5, 0
19, 1, 18, 0, 759, 3, 0, 39, 5.650642862992384E-4, 1
66, 1, 643, 13, 8586, 18, 1, 13, 2.6098391666095972E-5, 0
15, 1, 27, 0, 1414, 45, 1, 50, 7.536835349996455E-4, 0
