lev,ms,tot,samples,prods
2, 114426, 262616, 2161, 1130
1, 5, 35221, 33, 206
1, 1, 18872, 18, 154
1, 1, 38703, 16, 195
1, 0, 6631, 13, 138
1, 0, 11444, 1, 48
1, 0, 13991, 1, 157
1, 1, 29156, 3, 435
1, 0, 7172, 1, 77
1, 0, 25565, 4, 93
1, 0, 23803, 4, 166
2, 8997, 37033, 1514, 855
2, 2, 146353, 29, 194
1, 0, 13856, 2, 336
2, 1, 33058, 22, 246
1, 0, 30197, 6, 196
1, 0, 6641, 7, 106
1, 0, 23101, 7, 138
2, 4, 112257, 96, 262
1, 0, 9866, 2, 65
2, 39, 53493, 193, 593
1, 1, 32993, 13, 105
2, 52, 31815, 482, 1993
2, 1, 80311, 11, 181
1, 1, 34332, 15, 230
1, 0, 26456, 3, 127
2, 0, 148810, 3, 98
2, 0, 128193, 8, 169
2, 4, 99889, 140, 266
1, 0, 9035, 1, 105
1, 0, 8553, 3, 82
1, 0, 16130, 2, 136
1, 0, 13409, 4, 138
1, 0, 50093, 2, 143
1, 0, 20234, 8, 151
1, 0, 35997, 6, 120
2, 14, 117445, 48, 1832
1, 0, 28382, 5, 128
1, 0, 6682, 4, 65
2, 4, 45108, 76, 973
1, 0, 18680, 1, 86
2, 6, 74994, 70, 1417
2, 1081, 81950, 3540, 1844
1, 0, 25901, 2, 69
1, 0, 46750, 13, 177
2, 7965, 37376, 1489, 855
2, 5, 36416, 156, 189
2, 1259, 90303, 2935, 1795
1, 388, 14767, 27, 132
1, 0, 30503, 3, 253
1, 0, 10455, 13, 223
1, 0, 8003, 1, 130
2, 6, 98511, 117, 479
2, 30, 131763, 28, 2868
1, 0, 14283, 11, 122
1, 0, 7512, 10, 100
1, 0, 17744, 13, 119
2, 0, 129476, 1, 80
1, 0, 36417, 9, 99
2, 64, 46019, 777, 1312
1, 0, 49989, 1, 84
2, 2, 38284, 78, 105
1, 0, 6778, 1, 91
1, 1, 11843, 5, 322
1, 1, 25526, 3, 80
2, 169, 34816, 1384, 1888
1, 0, 49914, 4, 168
3, 733, 195490, 1413, 2152
2, 12, 66829, 115, 1475
1, 0, 14170, 10, 205
1, 0, 12218, 3, 190
1, 0, 26765, 3, 85
1, 2, 19364, 20, 333
2, 11, 24867, 90, 956
1, 0, 39931, 3, 97
1, 0, 42783, 5, 96
1, 3, 17318, 18, 137
3, 19, 212525, 1097, 358
1, 3, 48634, 11, 102
2, 491, 37229, 1955, 1528
1, 0, 44135, 1, 80
1, 3, 9185, 45, 283
1, 1, 17617, 15, 371
1, 0, 24731, 7, 79
1, 0, 9487, 1, 210
2, 3, 29439, 59, 338
1, 0, 16003, 5, 77
1, 0, 12759, 6, 75
1, 1, 14292, 5, 75
2, 816, 45808, 2123, 1662
1, 0, 13015, 1, 113
1, 0, 6683, 4, 64
3, 20, 277142, 73, 2257
1, 0, 17049, 3, 66
1, 0, 19704, 14, 151
2, 357, 125818, 835, 1063
2, 0, 104002, 1, 70
2, 3, 64177, 33, 331
3, 1418, 133246, 7064, 338
1, 0, 24883, 10, 157
1, 0, 29822, 2, 189
2, 0, 33838, 1, 48
2, 5, 115337, 50, 1604
1, 0, 7565, 12, 219
1, 0, 8654, 16, 146
3, 1772, 689166, 16090, 22137
2, 286, 35081, 1172, 335
2, 0, 109614, 12, 180
1, 1, 6755, 14, 99
2, 0, 73176, 8, 148
2, 13, 145358, 54, 1576
1, 1, 24160, 2, 275
1, 0, 22184, 15, 176
1, 0, 14217, 1, 118
1, 1, 15540, 15, 104
2, 0, 43651, 19, 134
1, 1, 8024, 20, 135
1, 0, 14013, 2, 76
2, 356, 27645, 699, 569
3, 283, 148907, 1023, 7437
1, 0, 6933, 1, 110
1, 2, 28880, 42, 414
1, 0, 7359, 8, 69
3, 7, 134849, 330, 537
1, 3, 25751, 16, 333
2, 46, 40514, 545, 1236
2, 3, 37148, 9, 279
1, 0, 7759, 1, 42
1, 0, 11285, 5, 142
2, 63, 34735, 777, 1730
2, 0, 148366, 1, 80
1, 0, 27861, 3, 137
2, 76, 27769, 1509, 1618
1, 1, 17581, 7, 79
3, 129, 248226, 807, 5005
3, 0, 212330, 1, 72
2, 1, 28422, 44, 140
1, 0, 11130, 4, 80
1, 0, 14627, 10, 287
1, 0, 38401, 9, 220
1, 0, 38334, 8, 119
2, 3, 129187, 102, 328
1, 14, 11394, 28, 140
2, 0, 117105, 2, 111
1, 0, 12264, 7, 98
2, 6, 95671, 40, 374
1, 0, 17875, 6, 171
1, 1, 13098, 10, 294
1, 0, 28112, 5, 95
1, 0, 37192, 4, 98
1, 0, 14584, 1, 134
1, 0, 8490, 8, 88
1, 0, 7202, 2, 59
1, 2, 14569, 5, 107
1, 0, 7210, 15, 207
1, 0, 21088, 10, 135
1, 0, 12502, 9, 133
2, 3, 72751, 6, 640
2, 3, 38047, 99, 112
2, 0, 151312, 3, 285
1, 0, 8680, 6, 91
1, 0, 20414, 1, 62
1, 2, 42484, 1, 100
1, 0, 47045, 2, 131
1, 0, 6743, 2, 93
2, 755, 73013, 969, 762
1, 0, 9198, 1, 108
1, 1, 16080, 15, 155
1, 0, 11475, 5, 174
3, 51, 82163, 465, 2672
1, 0, 8765, 3, 70
1, 0, 11128, 10, 161
1, 0, 10159, 3, 69
2, 6, 65524, 114, 171
1, 2, 21822, 18, 147
1, 0, 7586, 1, 67
3, 28, 67372, 993, 2276
1, 0, 8618, 10, 129
2, 3, 66352, 35, 373
2, 4, 26892, 5, 807
2, 0, 110930, 3, 94
1, 0, 11291, 4, 184
2, 0, 63557, 1, 60
1, 1, 36376, 7, 261
1, 4, 27831, 28, 193
1, 1, 10440, 8, 329
1, 0, 33857, 1, 85
1, 0, 8878, 1, 48
1, 0, 17780, 1, 60
1, 0, 44217, 1, 111
1, 0, 17241, 3, 154
2, 0, 34205, 27, 127
1, 1, 21565, 14, 113
1, 2, 47495, 20, 236
1, 0, 24763, 1, 64
1, 1, 29231, 2, 218
3, 9580, 596811, 66763, 17851
1, 0, 9384, 15, 123
1, 0, 15215, 1, 60
1, 0, 8200, 4, 231
1, 0, 17853, 4, 77
1, 0, 8889, 2, 69
2, 2273, 138215, 585, 590
1, 0, 16115, 7, 128
3, 8, 81171, 338, 118
1, 0, 12453, 1, 52
1, 1, 16696, 3, 287
1, 0, 17329, 3, 71
3, 146, 70993, 2860, 2387
1, 0, 37162, 3, 95
1, 0, 21622, 2, 95
3, 96, 219152, 687, 3438
3, 253, 196711, 2552, 2999
1, 0, 6299, 1, 42
1, 0, 14064, 1, 72
2, 68777, 212092, 10976, 3624
1, 1, 33906, 6, 148
1, 1, 26089, 8, 377
1, 2, 30582, 28, 307
2, 4, 79900, 53, 322
1, 0, 9037, 13, 147
1, 0, 6976, 4, 123
1, 10, 9346, 25, 249
1, 1, 29242, 11, 363
2, 3460, 65735, 1781, 1176
2, 8, 78622, 114, 322
1, 0, 8838, 10, 267
1, 0, 33589, 13, 129
2, 529, 30529, 1540, 1962
1, 0, 6787, 15, 128
1, 1, 15790, 19, 180
2, 518, 43990, 2383, 1610
1, 0, 25450, 5, 94
1, 0, 13341, 2, 76
1, 19, 11317, 23, 131
1, 1, 38721, 8, 103
1, 0, 7487, 1, 57
1, 0, 28039, 1, 68
1, 0, 40529, 7, 103
1, 1, 13379, 12, 72
3, 6, 164634, 104, 201
1, 0, 50017, 5, 166
2, 4, 78164, 32, 325
1, 1, 23305, 9, 187
1, 2, 17462, 5, 422
1, 0, 44611, 7, 147
2, 122, 129402, 406, 231
1, 1, 13860, 3, 74
2, 0, 125640, 1, 80
1, 5, 14123, 43, 303
1, 0, 30476, 9, 122
2, 5, 24981, 25, 858
1, 0, 41899, 4, 136
3, 3, 229524, 155, 169
1, 0, 31825, 3, 214
2, 12, 34614, 170, 1317
1, 1, 36712, 1, 119
1, 1, 44511, 12, 123
2, 0, 74782, 4, 188
2, 2911, 171665, 8796, 2896
1, 0, 23147, 3, 175
1, 0, 21990, 16, 156
1, 1, 47935, 6, 330
1, 0, 13410, 10, 157
1, 0, 31272, 2, 76
2, 0, 52958, 1, 60
1, 1, 25211, 8, 159
2, 0, 42591, 12, 208
1, 0, 8960, 6, 70
3, 12, 77253, 591, 378
2, 471, 67549, 2027, 1799
1, 0, 34616, 1, 72
2, 0, 78966, 1, 64
2, 6, 55812, 8, 1333
2, 10, 61566, 38, 1340
1, 0, 18188, 8, 145
1, 0, 9097, 6, 142
1, 0, 12037, 5, 105
2, 39390, 82521, 2095, 1077
1, 0, 13846, 3, 72
1, 0, 11457, 2, 146
1, 0, 7541, 1, 102
2, 65, 107738, 134, 4233
1, 0, 43655, 3, 226
1, 0, 37574, 1, 76
2, 5, 30943, 197, 279
2, 17, 149144, 221, 494
1, 0, 14098, 8, 157
1, 0, 18548, 3, 75
1, 0, 9257, 23, 134
3, 294, 194474, 656, 988
2, 1, 43476, 26, 142
1, 0, 47341, 2, 95
1, 0, 32641, 1, 72
1, 0, 47211, 1, 98
2, 5, 36066, 6, 1363
1, 0, 10624, 3, 82
2, 40, 62387, 242, 213
1, 0, 7084, 11, 140
2, 47, 75668, 630, 2134
2, 19, 33410, 183, 1397
1, 6, 14272, 21, 124
1, 0, 21918, 9, 350
1, 0, 32395, 4, 104
2, 4, 34468, 10, 886
1, 0, 10096, 1, 46
2, 26, 74341, 501, 1470
2, 146, 76054, 1834, 2432
1, 1, 19908, 16, 152
1, 0, 10348, 1, 48
1, 0, 7334, 1, 79
2, 3, 88300, 48, 434
1, 0, 37416, 1, 76
1, 0, 6840, 7, 134
3, 335, 135354, 225, 7835
1, 0, 48730, 2, 102
2, 0, 85941, 1, 66
1, 0, 19726, 3, 188
2, 4, 32908, 103, 984
1, 0, 11383, 2, 235
1, 0, 26926, 3, 147
1, 0, 29454, 1, 68
2, 3, 53328, 77, 104
1, 1, 19594, 8, 203
1, 0, 15590, 4, 144
1, 1, 47890, 4, 451
2, 5, 80351, 1, 1338
1, 0, 17235, 1, 63
2, 0, 59707, 14, 121
1, 1, 20358, 16, 132
1, 0, 30353, 3, 116
1, 0, 6499, 1, 42
2, 8, 35225, 127, 883
2, 1373, 88313, 1872, 1375
1, 0, 24711, 4, 105
1, 0, 8973, 1, 48
2, 2, 62064, 83, 237
1, 0, 10355, 1, 50
1, 0, 36319, 3, 174
1, 1, 44362, 11, 330
2, 2, 64761, 11, 552
1, 0, 6704, 1, 40
1, 9, 18602, 22, 136
1, 0, 49242, 5, 106
1, 0, 12566, 1, 168
1, 0, 14729, 7, 71
2, 9, 32146, 11, 1231
3, 369, 283432, 5934, 7859
3, 93408, 172990, 10158, 438
1, 0, 14779, 3, 76
3, 108, 266185, 656, 3737
1, 0, 43810, 7, 208
1, 0, 35559, 5, 132
1, 0, 25682, 6, 108
1, 0, 31765, 1, 72
1, 0, 12905, 5, 76
1, 0, 26870, 9, 143
1, 1, 15359, 18, 287
1, 1, 35641, 1, 107
1, 0, 41707, 6, 125
1, 0, 16267, 1, 58
2, 0, 92920, 1, 79
1, 0, 14206, 6, 128
1, 0, 27877, 4, 101
1, 0, 17926, 1, 60
1, 2, 49951, 1, 557
1, 0, 12153, 1, 48
2, 1385, 31390, 472, 206
1, 0, 7029, 8, 133
2, 639, 127687, 1055, 1254
1, 0, 12714, 4, 110
2, 9, 88398, 105, 192
1, 1, 52087, 7, 304
2, 2, 62211, 42, 434
1, 0, 17004, 7, 103
1, 0, 10725, 1, 48
1, 0, 25384, 1, 68
1, 0, 13846, 1, 56
1, 0, 14610, 4, 307
2, 0, 118410, 1, 74
1, 0, 47584, 5, 102
2, 7, 40533, 101, 145
1, 0, 22083, 4, 134
1, 33, 47134, 24, 143
2, 9, 57943, 25, 1340
2, 14, 134047, 230, 1767
1, 0, 41018, 3, 164
1, 0, 12258, 5, 114
1, 2, 30119, 16, 216
1, 52, 19502, 47, 192
2, 143, 74987, 1517, 3494
1, 0, 24080, 11, 98
1, 0, 6739, 5, 69
1, 0, 28842, 14, 133
2, 30, 48211, 318, 2755
2, 34, 30109, 659, 1759
1, 0, 9815, 3, 64
1, 0, 7127, 4, 102
2, 18, 49777, 481, 1117
2, 76, 67876, 989, 1653
2, 44, 96198, 615, 1793
1, 0, 22495, 2, 95
1, 0, 8194, 1, 66
1, 2, 24287, 22, 143
2, 5, 42147, 91, 145
1, 0, 15625, 7, 143
1, 2, 11980, 18, 122
1, 23, 31876, 23, 133
1, 2, 8950, 29, 363
1, 1, 30256, 2, 148
2, 13, 59078, 185, 2269
1, 0, 17994, 6, 70
1, 0, 8085, 5, 139
3, 207, 149504, 2338, 7631
1, 0, 16760, 2, 68
1, 0, 10476, 1, 259
2, 19, 60397, 103, 2166
1, 0, 40066, 4, 87
3, 0, 171386, 1, 84
1, 0, 14110, 4, 85
2, 0, 41602, 9, 71
1, 0, 28796, 1, 114
3, 6, 134355, 307, 135
2, 9, 91692, 63, 1560
1, 1, 14152, 28, 298
1, 1, 51717, 2, 421
1, 0, 7820, 2, 64
2, 3, 60763, 73, 149
3, 0, 209474, 1, 72
1, 0, 14042, 3, 154
1, 0, 14383, 2, 74
1, 0, 37720, 2, 83
1, 4, 30273, 21, 158
3, 6, 142534, 353, 326
2, 180, 113046, 1025, 1526
1, 0, 10724, 5, 127
1, 0, 44832, 2, 103
2, 0, 52344, 1, 60
1, 0, 29253, 1, 70
1, 0, 40939, 1, 183
1, 0, 30435, 2, 143
2, 0, 75508, 1, 64
1, 0, 11569, 1, 52
1, 0, 7729, 3, 119
1, 7, 27738, 19, 234
1, 0, 14079, 1, 56
1, 0, 11599, 4, 70
2, 6, 78012, 206, 169
1, 0, 25413, 1, 68
2, 0, 110353, 1, 72
1, 17, 20809, 22, 126
1, 0, 46276, 6, 177
3, 20, 108371, 536, 1992
1, 0, 12115, 1, 72
1, 0, 8038, 1, 124
1, 0, 25376, 1, 68
1, 0, 7266, 1, 44
1, 0, 22720, 3, 76
1, 28, 42270, 24, 156
1, 3, 12041, 34, 177
1, 2, 11877, 29, 184
1, 0, 10168, 5, 179
1, 1, 34257, 21, 225
1, 0, 38530, 1, 78
2, 0, 24751, 3, 97
1, 1, 45616, 17, 167
2, 1104, 56521, 1323, 1069
2, 1164, 157634, 1771, 1557
1, 0, 18817, 4, 81
1, 0, 12716, 2, 123
2, 572, 31438, 3678, 1518
3, 113, 63889, 1769, 450
1, 0, 45854, 3, 178
1, 1, 26409, 11, 185
1, 1, 17508, 12, 150
1, 0, 10109, 1, 50
2, 10, 34418, 87, 816
1, 4, 34327, 20, 143
2, 3, 28288, 20, 903
1, 1, 24888, 1, 284
1, 0, 11769, 1, 52
3, 435, 246123, 5567, 7402
1, 0, 25608, 2, 76
3, 2, 61553, 94, 338
2, 8237, 36180, 1518, 855
1, 1, 51217, 13, 169
2, 2, 53781, 47, 279
2, 9, 38679, 262, 865
1, 0, 7191, 7, 115
1, 0, 21385, 1, 80
3, 1, 91677, 45, 117
2, 16, 96419, 32, 1609
2, 9, 94648, 23, 1387
1, 0, 11729, 1, 52
1, 3, 52223, 17, 347
1, 0, 14898, 14, 113
1, 0, 15093, 1, 56
1, 0, 37370, 1, 76
1, 0, 26300, 5, 95
3, 98029, 196224, 42384, 3181
1, 0, 18572, 9, 86
3, 2918, 160296, 2313, 164
1, 0, 43739, 7, 155
2, 226, 25640, 1905, 1135
1, 0, 22798, 7, 128
1, 1, 44961, 5, 436
1, 0, 21252, 3, 198
1, 0, 32925, 3, 78
2, 1632, 154522, 2676, 1941
2, 1, 43829, 33, 282
1, 0, 36351, 3, 228
1, 5, 32307, 56, 389
2, 0, 76649, 1, 68
1, 0, 47342, 2, 89
1, 0, 48809, 5, 103
1, 1, 6793, 26, 163
2, 24, 142648, 296, 1822
2, 38479, 70132, 1067, 1088
2, 9, 128879, 222, 260
1, 0, 10507, 22, 292
3, 189, 190854, 3831, 10725
1, 0, 30667, 1, 72
2, 41, 84619, 412, 1775
1, 0, 23485, 1, 64
1, 0, 8070, 1, 50
1, 0, 17298, 17, 179
2, 0, 65326, 3, 226
2, 12, 99981, 204, 182
1, 0, 6754, 1, 44
1, 196, 14171, 25, 138
3, 624, 246543, 2031, 436
1, 0, 13274, 1, 52
1, 0, 17480, 6, 107
