Snippet length, Patch size, Bonus Actions, Bonus Total, Possible, Distinct valid repairs, Total hypotheses checked, Relevant edit actions, Cumultative Rank, Saturation
37, 1, 167, 4582, 1, 1438, 1694834, 227, 220, 0.1461759641098116
42, 1, 21, 66, 1, 21, 1666851, 288, 280, 0.07026438420914034
11, 1, 186, 5717, 1, 1690, 746724, 84, 82, 1.2902157893009008
57, 1, 27, 520, 1, 156, 2996199, 293, 283, 0.11993122105090238
66, 1, 37, 1690, 1, 512, 3029369, 263, 175, 0.16779829479206237
14, 1, 164, 2977, 1, 874, 750975, 57, 51, 4.199895977808599
37, 2, 58, 455, 1, 134, 1421200, 222, 435, 0.13107166766747305
49, 1, 33, 786, 1, 220, 3303585, 239, 237, 0.24402034428032063
343, 2, 33, 633, 1, 295, 1505890, 3145, 6164, 4.844037325190631E-5
44, 3, 32, 198, 1, 63, 840704, 380, 769, 0.015402034139736915
74, 2, 130, 7401, 1, 2168, 1509074, 518, 1030, 0.010899286510200022
282, 2, 16, 283, 1, 104, 2255957, 2429, 4753, 1.5754544970261725E-4
58, 2, 61, 502, 1, 147, 1442172, 507, 1005, 0.011109803395493615
1222, 1, 6, 83, 1, 35, 1122865, 6720, 6717, 3.7012547701985382E-6
26, 1, 250, 8848, 1, 2598, 2510816, 168, 158, 0.5358672112950561
201, 3, 52, 3199, 1, 1067, 1530289, 1961, 4540, 2.0313446147402137E-4
53, 2, 106, 8257, 1, 2670, 2217140, 568, 1074, 0.012141638975812222
614, 1, 30, 1104, 1, 446, 957579, 6493, 6444, 3.4992274922165843E-6
28, 2, 45, 448, 1, 146, 322091, 141, 269, 0.11654171521199534
33, 3, 7, 27, 1, 10, 1929936, 154, 374, 0.5353291509703232
153, 2, 18, 141, 1, 52, 1897393, 1071, 2089, 0.0015473903667556233
126, 1, 91, 30724, 1, 10149, 2962664, 643, 526, 0.01117893212329686
178, 1, 34, 217, 1, 98, 1387490, 1663, 1596, 3.020476189246533E-4
69, 1, 146, 17237, 1, 5570, 1839091, 537, 535, 0.011920592584495644
109, 2, 92, 2145, 1, 707, 2084642, 942, 1859, 0.0024991990310007164
125, 2, 0, 0, 1, 1, 4832328, 852, 1516, 0.007831718896199399
316, 2, 26, 444, 1, 154, 1174699, 2733, 5447, 5.758714117298497E-5
270, 3, 28, 234, 1, 85, 1502237, 1925, 5713, 2.1081303850890273E-4
69, 3, 59, 1058, 1, 319, 2688434, 395, 1127, 0.04384368505132879
14, 2, 206, 3806, 1, 1215, 810566, 161, 307, 0.19665531229377742
14, 3, 245, 4669, 1, 1293, 1969044, 129, 374, 0.9315785290377279
71, 1, 154, 8879, 1, 2958, 2866034, 435, 432, 0.03497923617629296
170, 2, 15, 306, 1, 100, 3322119, 972, 1940, 0.003625016604016377
89, 2, 93, 5919, 1, 1874, 2508432, 739, 1380, 0.006232242936786618
86, 2, 136, 12016, 1, 4019, 2092445, 770, 902, 0.004595258141255114
104, 2, 92, 1251, 1, 440, 897236, 681, 1289, 0.002849317302766369
134, 2, 48, 862, 1, 293, 1802094, 1117, 2196, 0.0012953750561679686
25, 1, 113, 7828, 1, 2293, 2529952, 144, 142, 0.8591255294503971
21, 1, 94, 1342, 1, 392, 769194, 110, 107, 0.5885101899819359
51, 2, 65, 1258, 1, 394, 2373079, 526, 1040, 0.016368401621542114
161, 1, 95, 4002, 1, 1468, 851709, 1116, 1114, 6.138707749652478E-4
39, 1, 41, 201, 1, 60, 770044, 233, 230, 0.06140102433382898
14, 1, 172, 2967, 1, 892, 915201, 138, 134, 0.3533241270467548
1050, 2, 48, 518, 1, 243, 813903, 6933, 13663, 2.443061118596452E-6
28, 1, 215, 10660, 1, 3342, 4296179, 165, 148, 0.9680430662072409
112, 2, 90, 2955, 1, 1127, 1001863, 1050, 1970, 8.670969690359021E-4
31, 1, 65, 1133, 1, 329, 2556810, 173, 169, 0.49955218666547874
110, 2, 80, 1659, 1, 575, 1875251, 961, 1887, 0.002117352086564827
339, 3, 15, 71, 1, 24, 1931840, 2394, 7090, 1.4091639849600837E-4
64, 3, 38, 628, 1, 176, 1611076, 591, 1662, 0.007831109171546134
23, 1, 288, 17066, 1, 5075, 3795980, 143, 138, 1.3164058463153967
92, 3, 59, 1524, 1, 444, 1293926, 584, 1375, 0.0065186581643792195
13, 1, 151, 4980, 1, 1395, 526983, 106, 102, 0.4508926165021754
160, 1, 0, 0, 1, 1, 5835110, 998, 994, 0.005882037014827068
23, 3, 11, 66, 1, 19, 702550, 148, 286, 0.21966501359012144
80, 2, 33, 770, 1, 209, 2652799, 464, 882, 0.026669959796689336
22, 1, 73, 3615, 1, 1050, 1955842, 117, 115, 1.2422240401202185
29, 1, 255, 19455, 1, 5797, 3108718, 221, 207, 0.29062619780827964
78, 3, 65, 2018, 1, 583, 1165402, 503, 1166, 0.009193875529339196
32, 1, 94, 9910, 1, 3119, 1125299, 327, 325, 0.03238030283681401
726, 2, 0, 0, 1, 1, 1663552, 7039, 13211, 4.771191870665736E-6
67, 2, 104, 3719, 1, 1306, 802296, 687, 1340, 0.002481582609160532
203, 2, 80, 3544, 1, 1274, 2375681, 1780, 3402, 4.217121257326363E-4
49, 2, 91, 6175, 1, 1877, 2720837, 384, 618, 0.04830263239908268
182, 2, 58, 1164, 1, 450, 1572817, 1720, 3151, 3.0945524461973076E-4
75, 3, 100, 3150, 1, 982, 2296276, 477, 1323, 0.021246621906327947
