Type , Left         , Old Mid    , Right      , New Mid      , Frequency
DEL  , NAME         , ')'        , ':'        ,              , 58       
INS  , NAME         ,            , NEWLINE    , STRING       , 58       
SUB  , NAME         , STRING     , ','        , UNKNOWN_CHAR , 57       
DEL  , NEWLINE      , 99         , 'if'       ,              , 57       
DEL  , '}'          , ','        , STRING     ,              , 56       
DEL  , 'return'     , STRING     , STRING     ,              , 55       
INS  , ','          ,            , NUMBER     , NUMBER       , 55       
INS  , BOS          ,            , 'import'   , NEWLINE      , 54       
INS  , '('          ,            , NAME       , NAME         , 54       
INS  , BOS          ,            , 'def'      , UNKNOWN_CHAR , 53       
DEL  , ':'          , 98         , NAME       ,              , 53       
DEL  , STRING       , ','        , STRING     ,              , 53       
INS  , NEWLINE      ,            , 'if'       , 98           , 52       
INS  , BOS          ,            , 'from'     , NEWLINE      , 52       
DEL  , BOS          , 'def'      , NAME       ,              , 52       
DEL  , STRING       , '}'        , '}'        ,              , 52       
DEL  , NAME         , 'in'       , NAME       ,              , 51       
DEL  , NAME         , '('        , '['        ,              , 51       
SUB  , NEWLINE      , 98         , 'def'      , 99           , 50       
DEL  , STRING       , ']'        , ']'        ,              , 50       
DEL  , NEWLINE      , 99         , 'return'   ,              , 48       
INS  , NAME         ,            , EOS        , '.'          , 48       
DEL  , ':'          , ')'        , NEWLINE    ,              , 48       
DEL  , NAME         , '.'        , NAME       ,              , 47       
INS  , BOS          ,            , NAME       , '<'          , 47       
INS  , NUMBER       ,            , NUMBER     , NUMBER       , 47       
INS  , ':'          ,            , NAME       , NAME         , 47       
DEL  , ':'          , ')'        , EOS        ,              , 47       
INS  , '['          ,            , NAME       , NAME         , 46       
INS  , ')'          ,            , EOS        , ':'          , 45       
SUB  , 'return'     , NAME       , NEWLINE    , 'None'       , 45       
DEL  , STRING       , ','        , NAME       ,              , 45       
INS  , ')'          ,            , NEWLINE    , NEWLINE      , 44       
DEL  , 'else'       , ':'        , NEWLINE    ,              , 44       
INS  , BOS          ,            , '{'        , NEWLINE      , 43       
INS  , '.'          ,            , STRING     , NAME         , 43       
SUB  , STRING       , ':'        , STRING     , '='          , 43       
INS  , ':'          ,            , NAME       , UNKNOWN_CHAR , 42       
DEL  , ')'          , ']'        , EOS        ,              , 42       
INS  , ')'          ,            , EOS        , '**'         , 41       
SUB  , NAME         , STRING     , '}'        , UNKNOWN_CHAR , 41       
INS  , '('          ,            , STRING     , NAME         , 41       
INS  , NAME         ,            , STRING     , '.'          , 41       
SUB  , BOS          , 'class'    , NAME       , NAME         , 41       
DEL  , ')'          , 99         , EOS        ,              , 41       
DEL  , STRING       , '}'        , EOS        ,              , 40       
DEL  , ':'          , 'pass'     , NEWLINE    ,              , 40       
INS  , NEWLINE      ,            , 'def'      , 99           , 40       
INS  , 'is'         ,            , NAME       , NAME         , 40       
INS  , 'import'     ,            , NAME       , NAME         , 40       
DEL  , NEWLINE      , 98         , 'try'      ,              , 40       
DEL  , ','          , '}'        , EOS        ,              , 39       
INS  , ')'          ,            , EOS        , '.'          , 39       
SUB  , '='          , NAME       , NEWLINE    , 'False'      , 39       
DEL  , 98           , 'def'      , NAME       ,              , 39       
SUB  , NAME         , 'as'       , NAME       , ','          , 39       
DEL  , STRING       , NEWLINE    , NAME       ,              , 38       
DEL  , NAME         , '='        , STRING     ,              , 38       
INS  , NAME         ,            , NEWLINE    , '.'          , 38       
INS  , NUMBER       ,            , ')'        , ')'          , 38       
DEL  , BOS          , '('        , ')'        ,              , 38       
SUB  , NAME         , '=='       , NAME       , '='          , 38       
INS  , UNKNOWN_CHAR ,            , EOS        , NEWLINE      , 38       
DEL  , BOS          , 'class'    , NAME       ,              , 38       
INS  , NAME         ,            , ':'        , ')'          , 38       
INS  , 'in'         ,            , NAME       , NAME         , 38       
DEL  , NUMBER       , ','        , STRING     ,              , 37       
INS  , BOS          ,            , NAME       , '**'         , 37       
SUB  , NAME         , ')'        , NEWLINE    , NAME         , 37       
INS  , BOS          ,            , NEWLINE    , UNKNOWN_CHAR , 37       
SUB  , NAME         , '=='       , NUMBER     , '='          , 37       
INS  , '-'          ,            , NUMBER     , NUMBER       , 37       
INS  , ')'          ,            , ')'        , NEWLINE      , 37       
SUB  , NAME         , '=='       , STRING     , '='          , 37       
INS  , STRING       ,            , NEWLINE    , UNKNOWN_CHAR , 36       
INS  , STRING       ,            , ')'        , ')'          , 36       
INS  , UNKNOWN_CHAR ,            , EOS        , UNKNOWN_CHAR , 36       
DEL  , BOS          , NAME       , '('        ,              , 36       
DEL  , STRING       , ':'        , NEWLINE    ,              , 36       
INS  , ':'          ,            , 'return'   , NEWLINE      , 36       
DEL  , ']'          , ','        , STRING     ,              , 35       
INS  , NEWLINE      ,            , EOS        , UNKNOWN_CHAR , 35       
INS  , NEWLINE      ,            , NAME       , NUMBER       , 35       
DEL  , '}'          , ')'        , EOS        ,              , 35       
DEL  , NEWLINE      , 98         , 'class'    ,              , 34       
INS  , ','          ,            , STRING     , UNKNOWN_CHAR , 34       
DEL  , STRING       , ']'        , ')'        ,              , 34       
INS  , '/'          ,            , STRING     , NAME         , 34       
SUB  , BOS          , 'def'      , NAME       , NAME         , 34       
INS  , ']'          ,            , ')'        , ')'          , 34       
INS  , '%'          ,            , NAME       , NAME         , 33       
DEL  , NUMBER       , '}'        , '}'        ,              , 33       
INS  , ')'          ,            , EOS        , NAME         , 33       
INS  , '}'          ,            , '}'        , NEWLINE      , 33       
INS  , NAME         ,            , EOS        , NEWLINE      , 32       
DEL  , NAME         , '('        , '('        ,              , 32       
DEL  , ','          , ')'        , EOS        ,              , 32       
DEL  , NAME         , ','        , STRING     ,              , 32       
SUB  , '='          , NAME       , NEWLINE    , 'True'       , 32       
INS  , '='          ,            , STRING     , UNKNOWN_CHAR , 32       
SUB  , NAME         , ')'        , EOS        , NAME         , 32       
INS  , '('          ,            , STRING     , UNKNOWN_CHAR , 32       
INS  , NEWLINE      ,            , 'while'    , 98           , 31       
INS  , BOS          ,            , 'from'     , UNKNOWN_CHAR , 31       
INS  , ']'          ,            , EOS        , '.'          , 31       
SUB  , 98           , NAME       , NEWLINE    , 'continue'   , 31       
DEL  , NAME         , ')'        , '('        ,              , 31       
SUB  , NEWLINE      , ')'        , EOS        , 99           , 31       
INS  , '('          ,            , ')'        , ')'          , 31       
SUB  , NEWLINE      , NEWLINE    , 99         , 99           , 30       
DEL  , NEWLINE      , 99         , 'for'      ,              , 30       
INS  , BOS          ,            , NAME       , '>'          , 30       
SUB  , 99           , 'except'   , NAME       , NAME         , 30       
INS  , ']'          ,            , NEWLINE    , ':'          , 30       
SUB  , NEWLINE      , '}'        , EOS        , 99           , 29       
INS  , NAME         ,            , NAME       , ':'          , 29       
DEL  , '['          , NAME       , 'for'      ,              , 29       
INS  , UNKNOWN_CHAR ,            , NEWLINE    , UNKNOWN_CHAR , 28       
INS  , NEWLINE      ,            , '}'        , 99           , 28       
SUB  , NAME         , STRING     , ':'        , UNKNOWN_CHAR , 28       
DEL  , ':'          , '['        , ']'        ,              , 28       
INS  , 'lambda'     ,            , NAME       , '('          , 28       
SUB  , BOS          , 'from'     , NAME       , 'import'     , 28       
INS  , '...'        ,            , NEWLINE    , '.'          , 28       
DEL  , ':'          , '...'      , EOS        ,              , 28       
DEL  , NAME         , ')'        , ']'        ,              , 27       
SUB  , BOS          , 'from'     , NAME       , NAME         , 27       
INS  , UNKNOWN_CHAR ,            , STRING     , UNKNOWN_CHAR , 27       
DEL  , BOS          , ')'        , ':'        ,              , 27       
SUB  , NAME         , STRING     , NEWLINE    , UNKNOWN_CHAR , 27       
DEL  , STRING       , ']'        , ','        ,              , 27       
INS  , '>>'         ,            , '['        , '>'          , 27       
DEL  , ','          , ')'        , ')'        ,              , 27       
DEL  , NEWLINE      , 'def'      , NAME       ,              , 27       
DEL  , NUMBER       , ')'        , NEWLINE    ,              , 27       
DEL  , NUMBER       , NEWLINE    , NAME       ,              , 26       
DEL  , ','          , STRING     , ':'        ,              , 26       
DEL  , ':'          , '...'      , NEWLINE    ,              , 26       
SUB  , NAME         , 'import'   , NAME       , 'from'       , 26       
INS  , ')'          ,            , NEWLINE    , '**'         , 26       
INS  , NAME         ,            , '('        , '('          , 26       
DEL  , '.'          , NAME       , '('        ,              , 26       
INS  , NAME         ,            , NEWLINE    , '('          , 25       
INS  , '-'          ,            , STRING     , NAME         , 25       
INS  , 'and'        ,            , NAME       , NAME         , 25       
INS  , 98           ,            , STRING     , NAME         , 25       
SUB  , NEWLINE      , '{'        , STRING     , 98           , 25       
DEL  , BOS          , NAME       , ':'        ,              , 25       
DEL  , ')'          , 99         , NAME       ,              , 25       
INS  , NAME         ,            , EOS        , ':'          , 25       
INS  , '<'          ,            , '-'        , UNKNOWN_CHAR , 25       
INS  , '-'          ,            , NEWLINE    , '->'         , 25       
INS  , NUMBER       ,            , ']'        , ']'          , 25       
SUB  , NAME         , ':'        , NAME       , ','          , 25       
INS  , NAME         ,            , '['        , '.'          , 25       
INS  , NEWLINE      ,            , '{'        , 98           , 24       
SUB  , STRING       , ','        , STRING     , ':'          , 24       
INS  , NAME         ,            , NAME       , '.'          , 24       
INS  , ','          ,            , NUMBER     , UNKNOWN_CHAR , 24       
INS  , STRING       ,            , STRING     , NUMBER       , 24       
DEL  , 'for'        , NAME       , 'in'       ,              , 24       
SUB  , '='          , NAME       , NEWLINE    , 'None'       , 24       
INS  , STRING       ,            , ','        , ')'          , 24       
INS  , BOS          ,            , '['        , '>>'         , 24       
SUB  , 99           , 'return'   , NAME       , NAME         , 24       
INS  , NEWLINE      ,            , NAME       , '//'         , 24       
DEL  , ')'          , ','        , NAME       ,              , 24       
INS  , BOS          ,            , '-'        , '<'          , 24       
INS  , NAME         ,            , NEWLINE    , '-'          , 24       
DEL  , NUMBER       , ':'        , NEWLINE    ,              , 24       
INS  , NUMBER       ,            , NEWLINE    , UNKNOWN_CHAR , 23       
INS  , NEWLINE      ,            , NEWLINE    , 98           , 23       
INS  , NAME         ,            , NAME       , '='          , 23       
INS  , ','          ,            , NAME       , NUMBER       , 23       
INS  , BOS          ,            , NAME       , NUMBER       , 23       
INS  , '<'          ,            , NAME       , '/'          , 23       
SUB  , STRING       , '['        , STRING     , NAME         , 23       
INS  , NEWLINE      ,            , NAME       , '>'          , 23       
SUB  , '='          , 'lambda'   , NAME       , NAME         , 23       
DEL  , '['          , 'for'      , NAME       ,              , 23       
INS  , UNKNOWN_CHAR ,            , NEWLINE    , NAME         , 22       
SUB  , NUMBER       , STRING     , ']'        , UNKNOWN_CHAR , 22       
INS  , ':'          ,            , NEWLINE    , NEWLINE      , 22       
INS  , ','          ,            , '['        , NEWLINE      , 22       
INS  , NEWLINE      ,            , NAME       , '**'         , 22       
DEL  , ','          , ')'        , NEWLINE    ,              , 22       
DEL  , STRING       , '('        , ')'        ,              , 22       
INS  , NEWLINE      ,            , NAME       , '<'          , 22       
INS  , STRING       ,            , ','        , NAME         , 22       
SUB  , NEWLINE      , NAME       , NEWLINE    , 'pass'       , 22       
INS  , 99           ,            , NAME       , '>>'         , 22       
INS  , ':'          ,            , NUMBER     , UNKNOWN_CHAR , 22       
SUB  , 98           , 'return'   , NAME       , NAME         , 21       
DEL  , NAME         , ')'        , ','        ,              , 21       
INS  , NUMBER       ,            , EOS        , UNKNOWN_CHAR , 21       
INS  , NAME         ,            , STRING     , UNKNOWN_CHAR , 21       
INS  , NAME         ,            , NEWLINE    , '/'          , 21       
SUB  , NAME         , 'import'   , NAME       , NAME         , 21       
INS  , ','          ,            , NAME       , NEWLINE      , 21       
SUB  , STRING       , ':'        , STRING     , ','          , 21       
INS  , NEWLINE      ,            , '>'        , '>>'         , 21       
SUB  , STRING       , ':'        , '['        , '='          , 21       
