Snippet length, Patch size, Time to find human repair (ms), First valid repair, Total repairs sampled, Distinct valid repairs, Throughput
26, 2, 556, 461, 19363, 9, 34
59, 2, 350, 347, 1059, 1, 3
95, 2, 1269, 1240, 4365, 3, 3
139, 1, 5343, 4603, 78674, 65, 14
54, 1, 726, 589, 23900, 8, 32
41, 1, 441, 425, 3560, 16, 8
37, 2, 3277, 0, 182387, 1, 55
59, 1, 3587, 2502, 201648, 76, 56
29, 2, 417, 391, 13536, 1, 32
100, 2, 1616, 1220, 28414, 8, 17
43, 2, 597, 489, 21361, 2, 35
54, 2, 1708, 1455, 43367, 2, 25
24, 2, 123, 113, 2410, 17, 19
126, 2, 1627, 1394, 26443, 1, 16
24, 1, 173, 136, 5788, 20, 33
97, 2, 2305, 1945, 78476, 5, 34
58, 2, 220, 219, 838, 1, 3
23, 3, 425, 351, 33099, 2, 77
21, 3, 446, 0, 16726, 1, 37
46, 2, 436, 379, 10554, 10, 24
32, 2, 50, 42, 1671, 3, 32
96, 1, 2651, 1973, 59475, 10, 22
14, 1, 46, 37, 1602, 7, 34
37, 1, 588, 552, 9861, 21, 16
24, 1, 361, 194, 44672, 15, 123
18, 2, 228, 177, 13087, 92, 57
20, 3, 1363, 1043, 102992, 3, 75
20, 3, 287, 245, 7171, 9, 24
31, 2, 941, 584, 58865, 5, 62
40, 2, 888, 778, 19380, 79, 21
72, 2, 296, 294, 317, 1, 1
114, 2, 1283, 1203, 15894, 3, 12
28, 1, 316, 267, 8036, 15, 25
35, 1, 4045, 2184, 266226, 74, 65
52, 2, 784, 0, 13092, 1, 16
34, 2, 305, 0, 394, 1, 1
191, 2, 2651, 2610, 7645, 6, 2
28, 2, 769, 673, 26984, 2, 35
27, 1, 353, 278, 14638, 5, 41
71, 2, 8525, 7615, 311924, 1, 36
84, 2, 2250, 1972, 53448, 30, 23
49, 2, 571, 504, 15439, 2, 26
72, 1, 940, 711, 28828, 119, 30
70, 2, 531, 507, 3566, 30, 6
20, 2, 213, 0, 2179, 1, 10
26, 1, 343, 342, 2882, 1, 8
108, 1, 6065, 4040, 167724, 29, 27
131, 2, 4067, 3690, 72541, 37, 17
41, 2, 3583, 3095, 239012, 1, 66
59, 1, 5950, 3874, 218472, 58, 36
92, 2, 2634, 2552, 82140, 1, 31
20, 1, 21, 19, 305, 8, 13
53, 1, 3808, 2601, 179768, 26, 47
70, 2, 2944, 2351, 62832, 2, 21
94, 1, 2557, 2210, 71370, 3, 27
72, 2, 507, 501, 1651, 3, 3
31, 2, 596, 429, 35161, 112, 58
67, 1, 1372, 1324, 19428, 3, 14
22, 1, 357, 333, 21654, 2, 60
28, 2, 35, 25, 1808, 5, 50
17, 2, 257, 192, 21336, 2, 82
32, 1, 804, 0, 25220, 1, 31
37, 2, 205, 0, 1050, 1, 5
71, 2, 283, 281, 910, 1, 3
134, 1, 1410, 1405, 10455, 1, 7
25, 1, 175, 174, 3046, 1, 17
21, 1, 460, 331, 26636, 26, 57
21, 1, 738, 270, 78274, 29, 105
177, 2, 3897, 3651, 52154, 23, 13
15, 1, 69, 68, 565, 2, 8
54, 1, 3962, 2758, 164764, 61, 41
12, 1, 48, 0, 1194, 1, 24
157, 2, 1471, 1363, 24622, 10, 16
42, 3, 342, 0, 2290, 1, 6
185, 2, 5322, 4898, 85550, 29, 16
105, 2, 862, 795, 14251, 12, 16
80, 1, 872, 801, 9387, 3, 10
137, 2, 5936, 5014, 139457, 2, 23
187, 2, 3720, 3619, 18578, 8, 4
8, 1, 33, 31, 319, 6, 9
18, 1, 173, 167, 1400, 5, 8
22, 1, 347, 175, 31484, 19, 90
41, 1, 538, 459, 21987, 27, 40
54, 1, 1118, 954, 24876, 7, 22
6, 1, 82, 65, 7358, 27, 88
12, 1, 31, 23, 1896, 13, 59
19, 3, 2108, 919, 194844, 29, 92
32, 1, 430, 402, 7012, 15, 16
82, 1, 7967, 6116, 316757, 13, 39
38, 1, 1522, 1223, 60978, 19, 40
51, 2, 516, 0, 13294, 1, 25
110, 1, 5853, 5095, 134114, 34, 22
50, 1, 3913, 2860, 239406, 50, 61
41, 3, 7838, 4255, 479211, 22, 61
31, 2, 396, 0, 2738, 1, 6
78, 2, 770, 697, 12807, 14, 16
39, 2, 322, 299, 4683, 4, 14
29, 1, 308, 277, 5704, 4, 18
35, 2, 174, 164, 2195, 4, 12
49, 3, 846, 694, 25355, 5, 29
48, 2, 3584, 2830, 236630, 1, 66
48, 1, 627, 591, 4948, 16, 7
29, 1, 886, 745, 28096, 51, 31
33, 2, 1730, 926, 139378, 32, 80
35, 2, 68, 0, 888, 1, 12
11, 1, 488, 260, 42307, 190, 86
57, 2, 574, 0, 5720, 1, 9
28, 2, 289, 272, 5431, 4, 18
28, 1, 152, 145, 1566, 1, 10
12, 1, 68, 53, 3207, 9, 46
51, 2, 2113, 1370, 143528, 46, 67
56, 1, 2000, 1462, 59055, 27, 29
133, 2, 1341, 1333, 1693, 1, 1
129, 1, 2482, 2359, 19270, 32, 7
16, 2, 140, 64, 14445, 12, 102
18, 1, 75, 66, 1576, 12, 20
15, 1, 73, 55, 14639, 1, 197
29, 2, 191, 118, 10850, 9, 56
124, 2, 7198, 7093, 117783, 1, 16
51, 2, 876, 0, 3011, 1, 3
116, 1, 8622, 7181, 170890, 245, 19
74, 1, 1576, 1494, 17497, 7, 11
29, 2, 357, 0, 3798, 1, 10
130, 2, 1282, 1225, 7799, 11, 6
119, 2, 2591, 2453, 26186, 10, 10
41, 2, 5404, 0, 370281, 1, 68
76, 2, 1551, 1395, 22926, 3, 14
34, 2, 233, 224, 1251, 3, 5
38, 3, 278, 262, 3100, 7, 11
131, 2, 3835, 3488, 66185, 36, 17
96, 1, 959, 958, 218, 1, 0
24, 2, 76, 0, 237, 1, 3
13, 2, 24, 0, 24, 1, 0
68, 1, 1494, 1448, 17871, 6, 11
53, 1, 1852, 1006, 74767, 70, 40
99, 2, 988, 973, 3276, 3, 3
100, 2, 2852, 2602, 35448, 1, 12
97, 1, 7840, 6323, 212398, 219, 27
61, 2, 2324, 1843, 62002, 1, 26
79, 2, 899, 874, 5006, 4, 5
88, 2, 791, 790, 407, 1, 0
99, 2, 1393, 1281, 16467, 19, 11
124, 2, 2366, 1944, 79139, 34, 33
108, 2, 2403, 2236, 32541, 17, 13
5, 1, 14, 0, 191, 1, 12
195, 2, 2090, 2053, 6451, 1, 3
40, 1, 365, 344, 9850, 1, 26
10, 1, 95, 0, 1446, 1, 15
16, 1, 5136, 1886, 578664, 79, 112
23, 3, 499, 383, 24686, 12, 49
294, 2, 2824, 2784, 8195, 3, 2
105, 2, 822, 789, 6545, 5, 7
30, 3, 5037, 3191, 365398, 118, 72
10, 3, 66, 0, 42, 1, 0
7, 1, 31, 24, 1290, 7, 40
98, 1, 997, 882, 16952, 13, 16
68, 1, 6555, 3788, 265391, 252, 40
32, 2, 464, 0, 21703, 1, 46
37, 1, 214, 169, 4560, 33, 21
52, 1, 4794, 3110, 330234, 54, 68
27, 2, 144, 0, 381, 1, 2
14, 3, 361, 287, 17745, 13, 49
52, 2, 289, 0, 342, 1, 1
185, 2, 1967, 1954, 8113, 2, 4
84, 2, 989, 902, 15762, 10, 15
65, 2, 958, 0, 7702, 1, 8
66, 2, 1111, 924, 30849, 2, 27
145, 2, 7234, 6259, 113030, 5, 15
63, 1, 2396, 1691, 107038, 17, 44
51, 1, 247, 239, 1494, 4, 6
89, 2, 414, 407, 1375, 1, 3
51, 1, 1060, 704, 68578, 260, 64
28, 1, 354, 291, 17387, 7, 48
76, 2, 886, 858, 7045, 3, 7
62, 1, 2862, 2098, 90912, 23, 31
77, 2, 1443, 1277, 32392, 24, 22
71, 3, 8703, 6748, 348092, 163, 39
78, 2, 1433, 1373, 14129, 15, 9
15, 2, 116, 114, 507, 1, 4
90, 1, 2077, 1687, 58569, 17, 28
93, 1, 1208, 1008, 37135, 18, 30
17, 2, 218, 179, 6802, 3, 31
177, 2, 3367, 0, 68481, 1, 20
46, 2, 468, 464, 1427, 3, 3
35, 2, 155, 146, 1995, 8, 12
12, 1, 58, 56, 507, 7, 8
24, 1, 188, 186, 499, 4, 2
33, 2, 343, 284, 5861, 8, 17
50, 1, 472, 459, 2961, 21, 6
43, 2, 395, 0, 3554, 1, 8
43, 2, 131, 119, 2454, 19, 18
26, 2, 198, 187, 4148, 1, 20
71, 2, 250, 247, 1309, 2, 5
102, 2, 828, 821, 1961, 1, 2
20, 2, 124, 122, 3842, 1, 30
89, 2, 802, 784, 3840, 4, 4
83, 1, 7803, 5701, 228707, 90, 29
37, 2, 970, 669, 67718, 5, 69
18, 1, 264, 196, 11603, 51, 43
73, 2, 3024, 0, 54413, 1, 17
54, 1, 689, 673, 5093, 3, 7
47, 1, 547, 516, 33566, 15, 61
104, 2, 1189, 1177, 2595, 2, 2
52, 1, 489, 464, 2589, 16, 5
11, 2, 140, 107, 10103, 19, 71
61, 1, 2640, 2026, 111342, 209, 42
69, 2, 704, 0, 585, 1, 0
19, 1, 109, 102, 1439, 14, 13
13, 1, 264, 122, 35106, 57, 132
89, 2, 1817, 1755, 9683, 5, 5
159, 1, 4508, 4198, 51937, 9, 11
34, 3, 1033, 731, 58555, 1, 56
79, 1, 2184, 1525, 50041, 13, 22
24, 2, 31, 0, 235, 1, 7
26, 1, 153, 119, 6162, 16, 40
119, 2, 1567, 1373, 40222, 15, 25
17, 1, 275, 224, 7854, 16, 28
21, 1, 231, 0, 1518, 1, 6
59, 2, 6532, 3438, 289222, 80, 44
70, 1, 954, 670, 28567, 21, 29
47, 1, 502, 431, 20095, 2, 39
59, 2, 229, 227, 1155, 1, 5
13, 1, 4, 3, 246, 3, 49
67, 2, 1119, 1036, 12473, 16, 11
22, 1, 745, 327, 79679, 34, 106
33, 1, 287, 253, 853, 3, 2
33, 2, 274, 0, 716, 1, 2
106, 1, 1099, 0, 1410, 1, 1
116, 1, 4065, 3861, 53337, 9, 13
17, 3, 4347, 2141, 594850, 6, 136
35, 2, 388, 359, 4394, 16, 11
97, 2, 1566, 1441, 20800, 14, 13
23, 1, 2354, 1281, 238858, 27, 101
21, 2, 1039, 619, 74152, 4, 71
13, 1, 62, 0, 1331, 1, 21
37, 2, 367, 353, 6681, 2, 18
38, 1, 541, 501, 6011, 2, 11
319, 2, 7628, 0, 27126, 1, 3
98, 2, 9278, 7782, 231202, 62, 24
19, 1, 1999, 1008, 226139, 25, 113
109, 2, 2258, 2077, 32577, 10, 14
26, 1, 480, 370, 23301, 5, 48
14, 1, 161, 78, 14865, 69, 91
75, 2, 908, 834, 15970, 10, 17
58, 2, 543, 0, 2647, 1, 4
84, 2, 869, 834, 6537, 3, 7
17, 2, 130, 120, 2098, 29, 16
44, 2, 34, 0, 158, 1, 4
75, 2, 270, 0, 282, 1, 1
42, 2, 53, 47, 1424, 8, 26
192, 2, 5662, 5221, 84064, 27, 14
27, 1, 2392, 0, 132062, 1, 55
56, 2, 3748, 2998, 150467, 54, 40
73, 2, 531, 405, 24250, 22, 45
40, 1, 681, 446, 39338, 24, 57
27, 1, 7337, 4433, 560930, 3, 76
151, 1, 9299, 7748, 281086, 60, 30
20, 1, 126, 120, 1392, 3, 10
119, 2, 1019, 978, 6577, 6, 6
92, 2, 1012, 996, 3386, 9, 3
14, 1, 49, 47, 1084, 8, 21
21, 2, 84, 76, 2182, 4, 25
111, 2, 4304, 3886, 85175, 31, 19
56, 1, 595, 570, 3962, 10, 6
65, 1, 709, 604, 20373, 57, 28
46, 2, 129, 113, 2083, 1, 16
11, 1, 187, 97, 19130, 16, 101
41, 2, 460, 0, 17076, 1, 37
99, 2, 2121, 0, 49561, 1, 23
25, 1, 302, 152, 28451, 32, 93
16, 2, 1051, 574, 127211, 60, 120
34, 2, 209, 0, 1824, 1, 8
47, 3, 435, 407, 5729, 18, 13
167, 1, 3503, 3213, 28319, 35, 8
40, 1, 1137, 899, 33401, 10, 29
12, 2, 11, 8, 806, 4, 67
11, 1, 62, 55, 2486, 13, 39
14, 2, 146, 72, 14649, 19, 99
86, 1, 2321, 1834, 93501, 9, 40
131, 2, 2650, 2517, 19194, 17, 7
149, 2, 3946, 3484, 59680, 19, 15
144, 1, 2316, 2227, 12582, 12, 5
46, 3, 2363, 1581, 98459, 3, 41
32, 1, 2277, 1165, 233191, 180, 102
18, 1, 310, 270, 8746, 14, 28
55, 2, 659, 650, 2977, 4, 4
15, 1, 99, 85, 5981, 3, 59
31, 2, 263, 240, 8310, 6, 31
42, 2, 403, 381, 4234, 5, 10
44, 2, 286, 265, 3879, 4, 13
153, 2, 2884, 2555, 57498, 23, 19
36, 1, 742, 437, 41795, 33, 56
26, 2, 8, 0, 58, 1, 6
61, 2, 691, 0, 6327, 1, 9
39, 1, 6540, 5007, 459827, 83, 70
25, 2, 211, 145, 11370, 14, 53
52, 1, 880, 787, 11569, 9, 13
31, 1, 155, 0, 721, 1, 4
128, 2, 6530, 5254, 139417, 45, 21
45, 1, 1449, 1056, 60833, 8, 41
101, 2, 1026, 0, 1247, 1, 1
25, 2, 2499, 0, 174897, 1, 69
72, 3, 5202, 3571, 305964, 133, 58
19, 1, 22, 16, 1083, 8, 47
12, 1, 18, 0, 9, 1, 0
30, 1, 216, 0, 955, 1, 4
51, 2, 367, 366, 349, 1, 0
72, 1, 1845, 1737, 27554, 42, 14
8, 3, 1748, 504, 332441, 407, 190
66, 2, 267, 265, 678, 1, 2
49, 2, 351, 0, 251, 1, 0
172, 2, 2883, 2855, 7941, 3, 2
31, 2, 241, 239, 540, 2, 2
67, 1, 8298, 6625, 310442, 18, 37
12, 2, 5, 4, 132, 2, 22
10, 1, 29, 19, 1863, 20, 62
131, 2, 2362, 1939, 82063, 30, 34
28, 1, 296, 0, 4803, 1, 16
26, 3, 397, 353, 16475, 2, 41
33, 2, 261, 0, 14632, 1, 55
48, 1, 438, 416, 4521, 7, 10
10, 1, 18, 0, 191, 1, 10
43, 2, 728, 607, 23884, 2, 32
134, 1, 5785, 4873, 105932, 181, 18
20, 1, 14, 13, 621, 2, 41
24, 1, 197, 197, 59, 1, 0
36, 1, 202, 199, 452, 11, 2
12, 1, 275, 209, 20146, 4, 72
21, 1, 362, 246, 34065, 91, 93
106, 2, 3846, 3464, 83746, 27, 21
24, 1, 100, 94, 1510, 3, 14
106, 1, 8938, 7101, 225971, 180, 25
27, 1, 362, 318, 15623, 4, 43
47, 2, 317, 302, 3344, 5, 10
38, 2, 2812, 2570, 142995, 1, 50
101, 1, 4889, 3893, 140690, 34, 28
33, 1, 416, 402, 2942, 5, 7
26, 2, 30, 0, 456, 1, 14
164, 2, 2653, 2611, 11926, 5, 4
35, 2, 217, 197, 3872, 5, 17
15, 1, 44, 42, 345, 1, 7
11, 2, 386, 0, 76511, 1, 197
45, 1, 426, 425, 205, 2, 0
88, 1, 1207, 1164, 6839, 4, 5
14, 1, 28, 22, 1033, 2, 35
29, 3, 439, 368, 11137, 1, 25
106, 1, 7954, 6884, 151348, 20, 19
171, 2, 2828, 2761, 13171, 7, 4
54, 1, 352, 254, 10176, 53, 28
16, 3, 531, 389, 25851, 77, 48
16, 2, 181, 0, 13022, 1, 71
17, 1, 81, 67, 2694, 9, 32
27, 1, 315, 294, 8402, 3, 26
36, 2, 254, 253, 1075, 1, 4
4, 2, 3, 2, 266, 3, 66
19, 1, 19, 16, 1211, 1, 60
171, 2, 7400, 0, 110384, 1, 14
157, 2, 2659, 0, 30792, 1, 11
179, 2, 1904, 0, 67, 1, 0
38, 1, 223, 218, 1187, 17, 5
61, 2, 4678, 3797, 198623, 133, 42
21, 1, 952, 590, 76526, 14, 80
24, 2, 90, 80, 1752, 3, 19
97, 2, 4200, 3297, 137978, 263, 32
23, 1, 188, 186, 420, 1, 2
180, 2, 1538, 1522, 1911, 5, 1
62, 2, 777, 764, 2915, 6, 3
140, 2, 7403, 6781, 112016, 44, 15
95, 1, 4120, 3574, 84027, 150, 20
52, 1, 823, 592, 33501, 70, 40
131, 2, 1106, 0, 3194, 1, 2
67, 1, 2910, 2459, 90027, 12, 30
130, 2, 1313, 1252, 9397, 16, 7
74, 3, 9311, 6963, 415437, 192, 44
14, 1, 34, 29, 1041, 2, 29
34, 2, 179, 177, 487, 1, 2
141, 2, 3205, 2848, 68972, 27, 21
47, 2, 702, 582, 23041, 16, 32
5, 2, 0, 0, 6, 1, 6
5, 2, 0, 0, 22, 1, 22
22, 2, 4044, 0, 450029, 1, 111
28, 1, 1045, 653, 72730, 13, 69
101, 2, 2829, 0, 42811, 1, 15
27, 2, 119, 115, 1028, 2, 8
49, 2, 506, 483, 5400, 6, 10
127, 1, 4534, 4058, 99368, 15, 21
22, 2, 2, 2, 126, 1, 42
108, 1, 1538, 1260, 30040, 26, 19
114, 2, 1153, 1063, 15969, 3, 13
29, 1, 1015, 640, 74970, 10, 73
33, 2, 752, 557, 23625, 26, 31
46, 2, 581, 541, 8892, 5, 15
41, 2, 546, 0, 8791, 1, 16
130, 1, 2868, 2464, 33374, 27, 11
10, 3, 223, 146, 13284, 48, 59
30, 1, 145, 0, 420, 1, 2
25, 1, 46, 43, 616, 9, 13
96, 2, 906, 880, 4706, 4, 5
103, 1, 1628, 0, 37899, 1, 23
7, 1, 89, 78, 3690, 6, 41
173, 1, 7270, 6752, 53985, 23, 7
33, 1, 417, 367, 8800, 60, 21
58, 2, 765, 671, 15121, 1, 19
31, 1, 532, 473, 9167, 4, 17
112, 1, 6640, 5171, 119384, 65, 17
36, 1, 2257, 1828, 143079, 1, 63
54, 1, 1812, 1278, 94834, 3, 52
87, 2, 951, 905, 5156, 7, 5
107, 2, 801, 704, 10050, 6, 12
24, 1, 419, 282, 20089, 22, 47
45, 1, 1219, 877, 48050, 13, 39
129, 2, 2662, 2247, 76273, 38, 28
30, 2, 3, 0, 111, 1, 27
35, 2, 320, 292, 4380, 6, 13
38, 1, 886, 713, 33131, 7, 37
18, 1, 100, 95, 904, 14, 8
76, 1, 6408, 4930, 249546, 24, 38
50, 2, 526, 490, 8104, 8, 15
34, 3, 4471, 2801, 286280, 21, 64
33, 1, 588, 466, 27721, 43, 47
14, 1, 128, 124, 1730, 4, 13
10, 1, 122, 117, 2042, 2, 16
20, 1, 74, 0, 1809, 1, 24
38, 1, 1155, 677, 79400, 9, 68
28, 2, 257, 169, 15152, 6, 58
18, 1, 103, 103, 69, 1, 0
62, 2, 2627, 2212, 76574, 44, 29
47, 1, 8003, 3987, 510326, 29, 63
21, 2, 17, 0, 1068, 1, 59
66, 2, 711, 0, 1014, 1, 1
11, 3, 209, 150, 12848, 16, 61
61, 1, 4560, 3170, 170050, 37, 37
34, 3, 625, 247, 36598, 7, 58
165, 1, 2137, 1808, 37056, 16, 17
37, 2, 309, 296, 2322, 4, 7
66, 2, 655, 0, 11336, 1, 17
49, 1, 1308, 1165, 27612, 20, 21
19, 1, 30, 24, 1159, 7, 37
66, 2, 1486, 1226, 50466, 34, 33
83, 1, 2494, 1814, 60193, 12, 24
76, 2, 1441, 1282, 34063, 32, 23
256, 2, 3947, 3887, 13098, 4, 3
36, 2, 101, 98, 1130, 2, 11
36, 1, 3233, 1600, 208424, 94, 64
45, 3, 7682, 5006, 588482, 7, 76
9, 2, 20, 14, 1138, 17, 54
96, 3, 6713, 5278, 285735, 158, 42
74, 2, 956, 668, 46121, 8, 48
21, 1, 295, 264, 7861, 2, 26
131, 2, 427, 0, 74, 1, 0
14, 1, 72, 56, 3240, 8, 44
162, 1, 3757, 3647, 14549, 10, 3
22, 2, 3017, 1579, 269861, 48, 89
122, 2, 2491, 2308, 35946, 18, 14
30, 2, 375, 0, 21679, 1, 57
56, 2, 439, 402, 6677, 6, 15
16, 2, 124, 99, 3286, 14, 26
60, 1, 5193, 3866, 204968, 271, 39
149, 2, 1497, 1471, 10189, 2, 6
130, 2, 7788, 7133, 121177, 1, 15
30, 3, 734, 415, 47294, 87, 64
16, 2, 236, 212, 7036, 50, 29
97, 2, 1667, 0, 13424, 1, 8
62, 1, 7516, 5856, 339133, 458, 45
27, 1, 759, 456, 48471, 71, 63
28, 1, 246, 218, 4553, 28, 18
23, 3, 2459, 1365, 169828, 68, 69
60, 2, 784, 0, 13855, 1, 17
32, 3, 4092, 2277, 246638, 5, 60
94, 1, 1411, 1221, 23872, 10, 16
33, 2, 462, 0, 18210, 1, 39
51, 2, 692, 661, 5602, 5, 8
47, 3, 9593, 0, 488240, 1, 50
12, 1, 313, 154, 38491, 8, 122
179, 2, 4361, 4201, 34457, 10, 7
67, 1, 279, 245, 6217, 15, 22
69, 2, 802, 0, 4807, 1, 5
23, 2, 119, 106, 4463, 5, 37
40, 1, 355, 312, 9786, 7, 27
31, 2, 98, 0, 132, 1, 1
17, 1, 143, 0, 73, 1, 0
115, 2, 1386, 1325, 13864, 11, 9
23, 2, 8, 0, 56, 1, 6
29, 1, 315, 289, 5509, 9, 17
132, 2, 3230, 2954, 58885, 16, 18
21, 2, 279, 229, 9661, 16, 34
23, 3, 436, 372, 13301, 22, 30
61, 2, 1031, 909, 26998, 5, 26
34, 1, 539, 458, 12408, 45, 22
46, 2, 540, 503, 11091, 5, 20
51, 1, 545, 478, 10753, 11, 19
17, 2, 352, 0, 29100, 1, 82
36, 3, 1846, 1330, 127018, 1, 68
49, 1, 1905, 1510, 54233, 53, 28
101, 1, 1823, 1557, 31259, 59, 17
11, 1, 40, 38, 813, 8, 19
155, 2, 3135, 3085, 14734, 4, 4
89, 1, 1310, 1203, 23266, 10, 17
11, 1, 561, 306, 44082, 18, 78
28, 1, 495, 345, 30627, 78, 61
79, 2, 631, 0, 1036, 1, 1
70, 1, 6399, 5200, 210624, 50, 32
28, 1, 695, 423, 49737, 6, 71
26, 1, 448, 300, 21972, 82, 48
21, 1, 290, 255, 8313, 16, 28
17, 2, 71, 70, 330, 2, 4
44, 2, 519, 365, 22761, 22, 43
54, 2, 663, 606, 8148, 2, 12
13, 3, 256, 0, 28534, 1, 111
129, 1, 5232, 4731, 54778, 31, 10
51, 2, 374, 369, 1656, 2, 4
54, 1, 1976, 1595, 61906, 68, 31
42, 1, 758, 711, 24225, 2, 31
13, 2, 244, 233, 28246, 1, 115
32, 1, 310, 280, 9707, 10, 31
15, 1, 219, 134, 18478, 145, 83
14, 1, 49, 48, 406, 6, 8
17, 1, 86, 76, 3200, 3, 36
24, 2, 208, 182, 4058, 1, 19
14, 1, 28, 27, 249, 2, 8
98, 2, 1082, 999, 15377, 10, 14
14, 1, 48, 44, 1256, 14, 25
22, 1, 342, 223, 24907, 14, 72
14, 2, 2, 0, 31, 1, 10
14, 2, 3, 0, 58, 1, 14
16, 2, 4, 0, 60, 1, 12
50, 3, 7018, 4213, 470578, 237, 67
32, 3, 634, 0, 14938, 1, 23
30, 2, 101, 91, 2030, 19, 19
18, 2, 67, 0, 5445, 1, 80
22, 1, 259, 197, 14565, 19, 56
120, 2, 7703, 0, 150683, 1, 19
6, 1, 12, 11, 431, 4, 33
16, 1, 465, 235, 38292, 22, 82
49, 2, 309, 261, 10092, 10, 32
24, 1, 800, 440, 65109, 5, 81
43, 2, 19, 0, 200, 1, 10
201, 1, 6032, 4995, 53642, 22, 8
129, 1, 4007, 3283, 62358, 18, 15
23, 2, 245, 0, 4392, 1, 17
36, 1, 534, 514, 4457, 4, 8
15, 1, 211, 176, 7369, 5, 34
12, 1, 2715, 781, 312503, 7, 115
52, 1, 992, 839, 39069, 3, 39
100, 2, 3054, 0, 114312, 1, 37
176, 2, 4644, 4364, 34715, 11, 7
19, 1, 105, 0, 254, 1, 2
41, 1, 1626, 1396, 54931, 65, 33
14, 1, 203, 158, 8776, 25, 43
70, 1, 772, 696, 7739, 42, 10
62, 1, 1951, 1501, 73223, 48, 37
9, 1, 4, 3, 405, 11, 81
22, 1, 420, 189, 48678, 93, 115
21, 1, 437, 241, 37637, 37, 85
8, 1, 32, 29, 2012, 3, 60
49, 2, 4016, 2049, 151583, 8, 37
17, 1, 252, 142, 22832, 74, 90
18, 2, 246, 240, 8831, 1, 35
77, 1, 1214, 1009, 38050, 25, 31
217, 1, 4413, 4333, 9446, 17, 2
21, 2, 337, 291, 16172, 8, 47
94, 1, 4387, 3265, 128851, 9, 29
381, 2, 7887, 7738, 25507, 5, 3
102, 2, 1131, 1004, 22532, 11, 19
110, 2, 9197, 7247, 335340, 103, 36
63, 1, 3662, 2513, 178723, 757, 48
16, 1, 250, 206, 12652, 2, 50
47, 3, 2825, 0, 171827, 1, 60
72, 1, 2704, 2357, 72925, 20, 26
52, 2, 1727, 1693, 35272, 1, 20
23, 2, 132, 110, 4137, 55, 31
26, 1, 289, 219, 9975, 20, 34
17, 3, 9486, 4608, 1073832, 88, 113
43, 2, 306, 275, 7639, 9, 24
23, 2, 1, 0, 25, 1, 12
23, 2, 2, 0, 79, 1, 26
143, 2, 7178, 5291, 157356, 7, 21
36, 1, 348, 334, 2875, 2, 8
151, 2, 2952, 2810, 25471, 14, 8
44, 2, 158, 0, 82, 1, 0
47, 2, 9489, 5412, 519789, 6, 54
59, 1, 1382, 1167, 41616, 6, 30
26, 1, 323, 292, 11059, 8, 34
61, 1, 2205, 1446, 101405, 66, 45
10, 2, 8, 7, 240, 8, 26
30, 1, 278, 211, 6512, 9, 23
14, 1, 22, 17, 2825, 2, 122
15, 2, 333, 165, 34228, 1, 102
25, 2, 625, 441, 27271, 2, 43
40, 1, 378, 364, 2542, 3, 6
18, 1, 234, 173, 24177, 47, 102
93, 2, 989, 925, 12062, 7, 12
22, 2, 42, 37, 1252, 13, 29
87, 2, 757, 739, 6621, 3, 8
64, 1, 844, 719, 26334, 74, 31
17, 2, 289, 226, 21959, 21, 75
112, 2, 1114, 1107, 1421, 5, 1
15, 2, 589, 260, 69428, 12, 117
29, 3, 1095, 638, 95771, 103, 87
25, 1, 93, 0, 22, 1, 0
125, 1, 2021, 1801, 38434, 51, 19
138, 2, 6795, 5826, 129204, 12, 19
17, 1, 130, 122, 2619, 2, 19
10, 1, 282, 121, 30266, 51, 106
46, 2, 630, 610, 1960, 1, 3
47, 1, 650, 470, 29738, 16, 45
21, 1, 767, 404, 68283, 5, 88
68, 2, 2479, 0, 64592, 1, 26
86, 2, 4092, 2797, 173418, 3, 42
17, 2, 819, 320, 94772, 10, 115
8, 2, 21, 0, 430, 1, 19
14, 3, 509, 301, 77891, 4, 152
82, 2, 496, 431, 10133, 9, 20
44, 1, 859, 819, 13505, 5, 15
30, 2, 901, 733, 28330, 11, 31
35, 2, 395, 360, 6205, 2, 15
31, 2, 74, 0, 215, 1, 2
19, 2, 92, 80, 4422, 1, 47
35, 1, 450, 439, 2586, 17, 5
19, 1, 231, 199, 6894, 16, 29
18, 2, 34, 0, 819, 1, 23
88, 1, 1028, 1004, 3524, 2, 3
45, 3, 1389, 0, 70607, 1, 50
13, 2, 25, 0, 2611, 1, 100
35, 1, 647, 376, 62515, 187, 96
84, 1, 1355, 1174, 27263, 21, 20
14, 3, 2518, 952, 331396, 6, 131
172, 2, 4742, 3991, 83044, 24, 17
10, 1, 100, 49, 10105, 32, 100
101, 2, 5251, 4343, 196633, 1, 37
45, 1, 803, 618, 46676, 22, 58
17, 1, 679, 365, 58344, 35, 85
25, 1, 295, 227, 13298, 11, 44
55, 2, 32, 30, 434, 1, 13
25, 1, 256, 242, 2587, 8, 10
9, 2, 5, 5, 78, 1, 13
54, 3, 2825, 2276, 100023, 114, 35
20, 1, 119, 112, 2060, 4, 17
20, 2, 161, 156, 2987, 3, 18
154, 2, 2413, 2186, 47917, 19, 19
80, 2, 498, 0, 5639, 1, 11
185, 2, 2925, 2821, 12335, 3, 4
14, 1, 11, 11, 137, 4, 11
12, 1, 60, 0, 1139, 1, 18
60, 1, 3161, 2093, 101503, 25, 32
37, 1, 310, 273, 6116, 22, 19
