repo, licenses, total files, total lines, holes, holes * inherited members
mobileexpensetracker, ?, 22, 3608, 1342, 1703
picasa-album-downloader-applet, ?, 4, 808, 330, 116750
blazedspilot, ?, 12, 249, 92, 43
irobot-graphics, ?, 14, 4196, 1614, 434354
java-terreneuve, ?, 26, 3965, 1590, 1870
pcds-2007-1, ?, 28, 1678, 620, 6328
talklively, ?, 8, 555, 218, 66
fios-etl, ?, 6, 1551, 590, 0
turetjson, ?, 8, 962, 370, 9100
omniglossia, ?, 5, 714, 265, 0
ingweb-gestion-de-inventarios-moduloii, ?, 15, 1720, 593, 735
zombieville-poo-2011, ?, 23, 1476, 507, 83047
softarch2009, ?, 12, 1069, 410, 0
rest-with-jersey-jackson-presentation, ?, 13, 1469, 595, 253
saab-financeiro, ?, 2, 159, 57, 0
weblogic-jaxb1codec, ?, 18, 1406, 489, 3114
nombre-celtibero, ?, 10, 666, 257, 0
hojadetrabajo10-12142-12538, ?, 9, 1525, 600, 0
springlime, ?, 14, 1576, 504, 5101
nxtbtrc, ?, 6, 736, 295, 4459
sohocms, ?, 22, 1085, 397, 476
tyrond, ?, 16, 1422, 516, 685
kebabtycoon, ?, 16, 466, 163, 356
videogame402, ?, 12, 2327, 885, 665842
groovycpp, ?, 5, 69, 24, 0
javagamebasic, ?, 13, 2899, 955, 0
projekt-case-autokomis, ?, 8, 2553, 968, 543047
gwt-plugindetect, ?, 4, 204, 49, 0
pruebas-sicloud, ?, 7, 1334, 546, 0
pbaictmercurial, ?, 3, 82, 26, 0
jm-sql-cloud-client, ?, 2, 257, 92, 0
ooodictionary, ?, 6, 815, 316, 10
ugvbr, ?, 25, 2473, 972, 1650
vishudha-timer, ?, 16, 1074, 378, 2489
pds-sql-service, ?, 12, 4224, 1439, 133667
patholink, ?, 2, 311, 118, 0
eclipse2eclipse, ?, 5, 432, 147, 9
tutorial-lbd-jpa, ?, 8, 832, 320, 0
spring-security-for-googleappsengine, ?, 5, 364, 127, 0
simplesvnlogviewer, ?, 2, 306, 119, 0
java-urltils, ?, 3, 528, 168, 0
shine-opsview-rest, ?, 3, 412, 167, 0
ribanoz-office, ?, 4, 714, 254, 77812
infinispan-storage-service, ?, 3, 1013, 318, 117
jfontchoosertoolbar, ?, 6, 745, 252, 206814
n3-prefix-checker, ?, 7, 336, 121, 5064
odontoimagendelcaribe, ?, 3, 24, 6, 0
skypetotwitter, ?, 3, 446, 167, 56
inventaire-sio-lafficher, ?, 1, 23, 6, 0
printing-control-text-to-notepad-ready, ?, 1, 201, 80, 1600
